dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers,presence_density,expertise_density,mask_disagreements,absent_train,no_expertise,min,median,max
fmnist,alpha0p1,44,expert_prob,presence_prob,0319b4e50dba203c,0889e00473932e47,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8941,0.8916,0.0025000000000000577,0.5301061787128448,0.3621710897922516,0.16793508892059322,0.9874,0.9798,0.007600000000000051,0.880189226585599,1.077757017162738,-0.19756779057713902,1.853686467433205,1.9946827620809,-0.14099629464769503,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.2,-2.0,4.2,6.2,-2.0,0.62,0.42,20,38,43,2,113.5,875
fmnist,alpha0p5,42,expert_prob,presence_prob,a94e698fa3ce41b2,280ced8d1bc52389,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8968,0.8487,0.04810000000000003,0.3631809852600097,0.4164571836471558,-0.05327619838714609,0.9692,0.8795,0.0897,1.048163690914879,1.2569387566823538,-0.20877506576747473,1.9594785655630804,2.0453235722667125,-0.08584500670363204,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.8,-3.8000000000000007,6.0,9.8,-3.8000000000000007,0.98,0.6,38,2,8,1,99.0,604
fmnist,alpha0p5,43,expert_prob,presence_prob,a9382d7e110e1b4f,cbc6f4dd29e857bc,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8915,0.8703,0.021199999999999997,0.3744296416997909,0.3561171987056732,0.018312442994117717,0.9531,0.8914,0.06169999999999998,1.0695800526396888,1.255937719335192,-0.18635766669550313,1.949756345254559,2.052208264103609,-0.10245191884905003,0.0,0.0,0.0,0.0,0.0,0.0,5.7,9.8,-4.1000000000000005,5.7,9.8,-4.1000000000000005,0.98,0.57,41,2,8,3,105.0,761
fmnist,alpha0p5,44,expert_prob,presence_prob,4fe5e732841bca5c,a0f194882a8d40bb,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8786,0.8594,0.019199999999999995,0.4166844233036041,0.4091567901134491,0.007527633190155036,0.9397,0.872,0.06769999999999998,1.0386216388416214,1.1822996722508972,-0.14367803340927576,1.929947258204454,1.9955433402678675,-0.06559608206341361,0.0,0.0,0.0,0.0,0.0,0.0,6.6,9.8,-3.200000000000001,6.6,9.8,-3.200000000000001,0.98,0.66,32,2,5,1,99.0,601
fmnist,alpha1p0,42,expert_prob,presence_prob,be206107d3b9963a,754bca3d55bc3082,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8874,0.8769,0.010499999999999954,0.3842929750204086,0.3590002907991409,0.02529268422126768,0.9586,0.8909,0.06769999999999998,1.034836182053455,1.1833412825486465,-0.1485051004951914,1.9279512240975885,2.003996660100352,-0.07604543600276359,0.0,0.0,0.0,0.0,0.0,0.0,6.3,10.0,-3.7,6.3,9.999999999999998,-3.6999999999999984,1.0,0.63,37,0,0,8,125.0,429
fmnist,alpha1p0,43,expert_prob,presence_prob,b98312a1293a366c,9788965e02450ff0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8868,0.881,0.005800000000000027,0.3831658036231994,0.3453651532649994,0.037800650358200016,0.9532,0.9098,0.043399999999999994,1.0204859116563016,1.1234538117064654,-0.10296790005016376,1.9165883487258173,1.9632990214271115,-0.046710672701294254,0.0,0.0,0.0,0.0,0.0,0.0,7.1,9.9,-2.8000000000000007,7.1,9.9,-2.8000000000000007,0.99,0.71,28,1,2,4,111.0,439
fmnist,alpha1p0,44,expert_prob,presence_prob,81815007cc97fb81,eae4166c7df68b00,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8882,0.88,0.008199999999999985,0.3645029945135116,0.3470136012077331,0.017489393305778478,0.9441,0.8907,0.0534,0.9947318411612378,1.0864310361209206,-0.09169919495968282,1.8764394490048013,1.9172713476462653,-0.04083189864146397,0.0,0.0,0.0,0.0,0.0,0.0,7.4,10.0,-2.5999999999999996,7.4,9.999999999999998,-2.599999999999998,1.0,0.74,26,0,0,1,89.0,494
fmnist,iid,42,expert_prob,presence_prob,a893354e6047afe2,420de0cbac1edf5a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8889,0.889,-9.999999999998899e-05,0.3470938858985901,0.3474234825372695,-0.00032959663867943023,0.9058,0.905,0.0008000000000000229,1.0085101611818006,1.0158217554505784,-0.00731159426877781,1.8598360223689687,1.8630780032783476,-0.003241980909378883,1000.0,0.0,1000.0,0.1,0.0,0.1,8.4,10.0,-1.5999999999999996,9.4,9.999999999999998,-0.5999999999999979,1.0,0.84,16,0,0,100,100.0,100
fmnist,iid,43,expert_prob,presence_prob,9f917542ec1bb40f,428a92403debe440,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8885,0.888,0.0004999999999999449,0.3633231450796127,0.3618016066551208,0.0015215384244919306,0.9099,0.9057,0.0042000000000000925,0.9423095926755356,0.947973109436022,-0.005663516760486376,1.7826279778695735,1.7872309007607847,-0.004602922891211225,1000.0,0.0,1000.0,0.1,0.0,0.1,7.6,10.0,-2.4000000000000004,8.599999999999998,9.999999999999998,-1.4000000000000004,1.0,0.76,24,0,0,100,100.0,100
fmnist,iid,44,expert_prob,presence_prob,fdee26de7f721f8c,abe009687c8920f8,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8868,0.8852,0.0016000000000000458,0.330677905523777,0.3307384666800499,-6.056115627289804e-05,0.9021,0.8992,0.0029000000000000137,1.0351135974297914,1.045781610244268,-0.010668012814476713,1.881078573229309,1.8869574781419425,-0.005878904912633542,1000.0,0.0,1000.0,0.1,0.0,0.1,8.0,10.0,-2.0,9.0,9.999999999999998,-0.9999999999999982,1.0,0.8,20,0,0,100,100.0,100
