dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
fmnist,alpha0p1,44,oracle_logit,feddf_logit,926999dfb235a311,411b30d625d92426,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8979,0.6545,0.24340000000000006,0.4875296553611755,0.94419387550354,-0.45666422014236446,0.9957,0.6686,0.32710000000000006,0.7996736731380499,1.6905627146345308,-0.8908890414964808,1.7897744976924668,2.206651445576111,-0.41687694788364427,45.0,0.0,45.0,0.0045,0.0,0.0045,4.6382,10.0,-5.3618,4.6832,9.999999999999998,-5.316799999999998
fmnist,alpha0p5,42,oracle_logit,feddf_logit,ea9bb8b624780129,4de4a759c90872f0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8974,0.8455,0.051899999999999946,0.3386049669027328,0.4410058173179626,-0.10240085041522984,0.9927,0.8664,0.12630000000000008,1.0555133435089017,1.2878403963193197,-0.232327052810418,1.960253822554452,2.0444337554961103,-0.08417993294165838,73.0,0.0,73.0,0.0073,0.0,0.0073,7.0119,10.0,-2.9881,7.0849,9.999999999999998,-2.915099999999998
fmnist,alpha0p5,43,oracle_logit,feddf_logit,acac8afe47bf20bf,f3bc3d7e5cbb4acb,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8905,0.8629,0.027599999999999958,0.3233836337327957,0.378203005695343,-0.05481937196254727,0.9893,0.8803,0.10899999999999999,1.1098625034104757,1.2880715257369308,-0.1782090223264552,1.9743425148398728,2.0524082583543537,-0.07806574351448092,108.0,0.0,108.0,0.0108,0.0,0.0108,7.2218,10.0,-2.7782,7.3298,9.999999999999998,-2.6701999999999986
fmnist,alpha0p5,44,oracle_logit,feddf_logit,b4cd97713252b444,5ac7898abb301455,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.889,0.8395,0.04949999999999999,0.3570194903850555,0.4584830131530761,-0.10146352276802062,0.9888,0.8517,0.1371,1.0227036067929045,1.2028635256628302,-0.18015991886992566,1.9206017271177536,1.9853486596083432,-0.0647469324905896,113.0,0.0,113.0,0.0113,0.0,0.0113,7.285,10.0,-2.715,7.398,9.999999999999998,-2.6019999999999985
fmnist,alpha1p0,42,oracle_logit,feddf_logit,3a0157dcfe5d2d3c,749fed178afa09e1,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8944,0.8742,0.020199999999999996,0.3171691826939583,0.3687738227367401,-0.05160464004278181,0.9911,0.8905,0.10060000000000002,1.0826202461805274,1.1794050091568742,-0.09678476297634675,1.9632674196216,1.9909285080461705,-0.02766108842457049,90.0,0.0,90.0,0.009,0.0,0.009,7.8599,10.0,-2.1401000000000003,7.9499,9.999999999999998,-2.050099999999998
fmnist,alpha1p0,43,oracle_logit,feddf_logit,88020e3423038857,e104a8552b32d4ad,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8952,0.8519,0.043300000000000005,0.3205214066982269,0.4161886858463287,-0.0956672791481018,0.9869,0.8746,0.11229999999999996,1.0216530860429451,1.1307147685757917,-0.10906168253284654,1.910580280391947,1.9380246384632287,-0.02744435807128176,131.0,0.0,131.0,0.0131,0.0,0.0131,8.1279,10.0,-1.8720999999999997,8.2589,9.999999999999998,-1.7410999999999976
fmnist,alpha1p0,44,oracle_logit,feddf_logit,ed283616f9067e56,f7567aeb7e842b49,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8969,0.8802,0.016700000000000048,0.3131386821269989,0.3507755892753601,-0.03763690714836121,0.9845,0.89,0.09450000000000003,1.012922563466374,1.0744925311058202,-0.06156996763944611,1.883096527608876,1.8956830222706835,-0.012586494661807501,155.0,0.0,155.0,0.0155,0.0,0.0155,8.2673,10.0,-1.7326999999999995,8.4223,9.999999999999998,-1.5776999999999983
fmnist,iid,42,oracle_logit,feddf_logit,c74227f7a462d768,f4fb2218d388dced,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8976,0.8895,0.008099999999999996,0.3181846098661423,0.3444983666181564,-0.02631375675201414,0.9744,0.9029,0.07150000000000001,0.9725081927443134,0.9988370694247874,-0.02632887668047401,1.830396988472,1.8341072542782708,-0.0037102658062708738,256.0,0.0,256.0,0.0256,0.0,0.0256,8.7667,10.0,-1.2332999999999998,9.0227,9.999999999999998,-0.9772999999999978
fmnist,iid,43,oracle_logit,feddf_logit,9ba41bf7e86421d9,14d0015b3f9f9051,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8921,0.8887,0.0033999999999999586,0.3468603282213211,0.3623528841257095,-0.015492555904388361,0.9758,0.9055,0.07030000000000003,0.90369880393991,0.9291063477424109,-0.025407543802500876,1.748233223881299,1.7514116926059735,-0.0031784687246745325,242.0,0.0,242.0,0.0242,0.0,0.0242,8.7999,10.0,-1.2001000000000008,9.0419,9.999999999999998,-0.9580999999999982
fmnist,iid,44,oracle_logit,feddf_logit,17672c75c6ba8f26,43f9dab37ad9198d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8905,0.8849,0.005599999999999938,0.3151839064836502,0.3328397986531257,-0.017655892169475496,0.9716,0.8984,0.07320000000000004,1.0093121052731315,1.0309083951026154,-0.021596289829483917,1.8622594337028493,1.8644291578816548,-0.0021697241788054544,284.0,0.0,284.0,0.0284,0.0,0.0284,8.753,10.0,-1.2469999999999999,9.037,9.999999999999998,-0.9629999999999974
