dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
fmnist,single,42,expert_prob,expert_logit,d167fc214edc5c68,99b441333e5bf3f5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9042,0.9042,0.0,2.942580070018768,2.942580070018768,0.0,1.0,1.0,0.0,3.920342750904092e-06,3.920342750904092e-06,0.0,5.1002922931681286e-05,5.1002922931681286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
fmnist,single,43,expert_prob,expert_logit,e73aba17d579b084,09d275ff7b023dc9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.899,0.899,0.0,3.1933379768371584,3.1933379768371584,0.0,1.0,1.0,0.0,2.784811898827674e-06,2.784811898827674e-06,0.0,3.786881728638407e-05,3.786881728638407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
fmnist,single,44,expert_prob,expert_logit,ab8e9ca45adc2256,79edd7ca6a5e54df,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9057,0.9057,0.0,2.6762206501960755,2.6762206501960755,0.0,1.0,1.0,0.0,3.872599766735031e-06,3.872599766735031e-06,0.0,4.910081560201257e-05,4.910081560201257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mnist,alpha0p1,42,expert_prob,expert_logit,d9427415fddfb7dc,b35c3f55c399a313,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9884,0.9881,0.00029999999999996696,0.0415412668741075,0.0443185745873895,-0.0027773077132819957,0.9965,0.9979,-0.0013999999999999568,0.8238872842622718,0.7350566915904032,0.08883059267186855,1.847589760899981,1.7437868176139957,0.10380294328598527,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,4.8,4.8,0.0
mnist,alpha0p1,43,expert_prob,expert_logit,d78a0dac27b97e4e,5b8931eb0c3f81c0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9857,0.9868,-0.0010999999999999899,0.0545604023094289,0.0540004382025217,0.0005599641069072014,0.9969,0.9974,-0.0004999999999999449,0.7378472888800105,0.6501170641573117,0.08773022472269876,1.7145826007527365,1.5954173887287106,0.11916521202402586,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,3.3,3.3,0.0
mnist,alpha0p1,44,expert_prob,expert_logit,cc4acf0198322c91,1ea6f18f70faee56,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9868,0.9869,-9.999999999998899e-05,0.0523772425275761,0.0559639794492162,-0.0035867369216401046,0.9984,0.9988,-0.00040000000000006697,0.6610174143662864,0.574101035835116,0.0869163785311704,1.6167379445371357,1.5044534693590077,0.11228447517812801,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,0.0,4.1,4.1,0.0
mnist,alpha0p5,42,expert_prob,expert_logit,f2209cbb09508377,f0bcde61d7afdc43,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9824,0.9814,0.0010000000000000009,0.0602315281427116,0.0639167261033202,-0.0036851979606086077,0.9878,0.9883,-0.0004999999999999449,0.8850633318569912,0.8600311065545789,0.025032225302412225,1.8778632914633704,1.8471751444955509,0.03068814696781952,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,0.0,7.3,7.3,0.0
mnist,alpha0p5,43,expert_prob,expert_logit,133745d7ef97778c,1f65aeb93a68d944,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9783,0.9771,0.0011999999999999789,0.0737865501265972,0.0835384650046005,-0.00975191487800331,0.9877,0.9873,0.00040000000000006697,0.929273865252314,0.896901879718974,0.032371985533340086,1.9099044552955828,1.870268115610913,0.03963633968466973,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,0.0,7.3,7.3,0.0
mnist,alpha0p5,44,expert_prob,expert_logit,23eaac99842b9e84,d158dafe8b39f74c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9811,0.9805,0.0005999999999999339,0.056927057863865,0.0586256217259913,-0.001698563862126301,0.9895,0.9904,-0.0008999999999999009,0.9427594258179084,0.9224779194302328,0.020281506387675563,1.9179372878608247,1.8970480131892808,0.02088927467154389,0.0,0.0,0.0,0.0,0.0,0.0,7.6,7.6,0.0,7.6,7.6,0.0
mnist,alpha1p0,42,expert_prob,expert_logit,1d5cb3fb595a35f8,1189fb75fc4d4a12,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9822,0.9816,0.0005999999999999339,0.0541155442069284,0.0559489033176563,-0.0018333591107278988,0.9851,0.9853,-0.00019999999999997797,0.9382436737286832,0.9253333427076196,0.012910331021063648,1.9163172813674605,1.90030747145384,0.016009809913620554,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.0,8.5,8.5,0.0
