block,dataset,regime,seed,method,proxy_size,found,valid,paired,status,reason
baseline,cifar,iid,42,oracle_logit,10000,1,1,1,complete,
presence,cifar,iid,42,presence_prob,10000,1,1,1,complete,
baseline,cifar,iid,43,feddf_prob,10000,1,1,1,complete,
baseline,cifar,iid,43,expert_prob,10000,1,1,1,complete,
baseline,cifar,iid,43,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,iid,43,oracle_prob,10000,1,1,1,complete,
baseline,cifar,iid,43,feddf_logit,10000,1,1,1,complete,
baseline,cifar,iid,43,oracle_logit,10000,1,1,1,complete,
presence,cifar,iid,43,presence_prob,10000,1,1,1,complete,
baseline,cifar,iid,44,feddf_prob,10000,1,1,1,complete,
baseline,cifar,iid,44,expert_prob,10000,1,1,1,complete,
baseline,cifar,iid,44,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,iid,44,oracle_prob,10000,1,1,1,complete,
baseline,cifar,iid,44,feddf_logit,10000,1,1,1,complete,
baseline,cifar,iid,44,oracle_logit,10000,1,1,1,complete,
presence,cifar,iid,44,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,42,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,42,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,42,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha1p0,42,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,42,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha1p0,42,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha1p0,42,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,43,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,43,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,43,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha1p0,43,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,43,feddf_logit,10000,1,1,1,complete,
