dataset,regime,seed,client,epochs_run,selected_epoch,validation_accuracy
fmnist,alpha0p1,44,8,16,11,0.9522342064714946
fmnist,alpha0p1,44,9,11,6,0.941282746160795
fmnist,multi,42,0,8,3,0.998
fmnist,multi,42,1,12,7,0.986
fmnist,multi,42,2,7,2,1.0
fmnist,multi,42,3,6,1,1.0
fmnist,multi,42,4,6,1,1.0
fmnist,multi,42,5,8,3,0.994
fmnist,multi,42,6,11,6,0.984
fmnist,multi,42,7,6,1,1.0
fmnist,multi,42,8,6,1,0.998
fmnist,multi,42,9,7,2,1.0
fmnist,multi,43,0,8,3,0.994
fmnist,multi,43,1,13,8,0.984
fmnist,multi,43,2,6,1,0.998
fmnist,multi,43,3,6,1,1.0
fmnist,multi,43,4,7,2,1.0
fmnist,multi,43,5,7,2,0.994
fmnist,multi,43,6,12,7,0.982
fmnist,multi,43,7,7,2,1.0
fmnist,multi,43,8,8,3,0.998
fmnist,multi,43,9,7,2,0.998
fmnist,multi,44,0,8,3,0.994
fmnist,multi,44,1,14,9,0.99
fmnist,multi,44,2,6,1,1.0
fmnist,multi,44,3,6,1,1.0
fmnist,multi,44,4,6,1,0.998
fmnist,multi,44,5,12,7,0.998
fmnist,multi,44,6,8,3,0.988
fmnist,multi,44,7,6,1,0.998
fmnist,multi,44,8,7,2,1.0
fmnist,multi,44,9,9,4,1.0
fmnist,single,42,0,6,1,1.0
fmnist,single,42,1,6,1,1.0
fmnist,single,42,2,6,1,1.0
fmnist,single,42,3,6,1,1.0
fmnist,single,42,4,6,1,1.0
fmnist,single,42,5,6,1,1.0
fmnist,single,42,6,6,1,1.0
fmnist,single,42,7,6,1,1.0
fmnist,single,42,8,6,1,1.0
fmnist,single,42,9,6,1,1.0
fmnist,single,43,0,6,1,1.0
fmnist,single,43,1,6,1,1.0
fmnist,single,43,2,6,1,1.0
fmnist,single,43,3,6,1,1.0
fmnist,single,43,4,6,1,1.0
fmnist,single,43,5,6,1,1.0
fmnist,single,43,6,6,1,1.0
fmnist,single,43,7,6,1,1.0
fmnist,single,43,8,6,1,1.0
fmnist,single,43,9,6,1,1.0
fmnist,single,44,0,6,1,1.0
fmnist,single,44,1,6,1,1.0
fmnist,single,44,2,6,1,1.0
fmnist,single,44,3,6,1,1.0
fmnist,single,44,4,6,1,1.0
fmnist,single,44,5,6,1,1.0
fmnist,single,44,6,6,1,1.0
fmnist,single,44,7,6,1,1.0
fmnist,single,44,8,6,1,1.0
fmnist,single,44,9,6,1,1.0
cifar,iid,42,0,18,13,0.68
cifar,iid,42,1,35,30,0.74
cifar,iid,42,2,24,19,0.7225
cifar,iid,42,3,26,21,0.69
cifar,iid,42,4,30,25,0.7225
cifar,iid,42,5,30,25,0.77
cifar,iid,42,6,24,19,0.6825
cifar,iid,42,7,19,14,0.66
cifar,iid,42,8,20,15,0.665
cifar,iid,42,9,27,22,0.72
cifar,iid,43,0,15,10,0.61
cifar,iid,43,1,12,7,0.6125
cifar,iid,43,2,33,28,0.6925
cifar,iid,43,3,33,28,0.725
cifar,iid,43,4,26,21,0.69
cifar,iid,43,5,21,16,0.695
cifar,iid,43,6,20,15,0.6725
cifar,iid,43,7,32,27,0.73
cifar,iid,43,8,24,19,0.7
cifar,iid,43,9,32,27,0.72
cifar,iid,44,0,25,20,0.7025
cifar,iid,44,1,21,16,0.65
cifar,iid,44,2,26,21,0.715
cifar,iid,44,3,21,16,0.7275
cifar,iid,44,4,36,31,0.755
cifar,iid,44,5,13,8,0.6175
cifar,iid,44,6,20,15,0.72
cifar,iid,44,7,23,18,0.7275
cifar,iid,44,8,24,19,0.7
cifar,iid,44,9,21,16,0.6775
cifar,alpha1p0,42,0,26,21,0.8023715415019763
cifar,alpha1p0,42,1,47,42,0.7663316582914573
cifar,alpha1p0,42,2,41,36,0.828
cifar,alpha1p0,42,3,28,23,0.8060046189376443
cifar,alpha1p0,42,4,25,20,0.8146718146718147
cifar,alpha1p0,42,5,18,13,0.704
cifar,alpha1p0,42,6,32,27,0.8127659574468085
cifar,alpha1p0,42,7,17,12,0.5767634854771784
cifar,alpha1p0,42,8,23,18,0.6595744680851063
cifar,alpha1p0,42,9,26,21,0.7291139240506329
cifar,alpha1p0,43,0,17,12,0.75
cifar,alpha1p0,43,1,26,21,0.6793478260869565
cifar,alpha1p0,43,2,18,13,0.7298474945533769
cifar,alpha1p0,43,3,17,12,0.7183673469387755
cifar,alpha1p0,43,4,23,18,0.759075907590759
cifar,alpha1p0,43,5,23,18,0.75177304964539
cifar,alpha1p0,43,6,21,16,0.7034700315457413
cifar,alpha1p0,43,7,14,9,0.7804878048780488
cifar,alpha1p0,43,8,22,17,0.7095959595959596
cifar,alpha1p0,43,9,27,22,0.7603485838779956
cifar,alpha1p0,44,0,16,11,0.7714285714285715
cifar,alpha1p0,44,1,17,12,0.667953667953668
cifar,alpha1p0,44,2,14,9,0.6273062730627307
cifar,alpha1p0,44,3,29,24,0.7825059101654847
cifar,alpha1p0,44,4,25,20,0.7898305084745763
cifar,alpha1p0,44,5,18,13,0.8197674418604651
cifar,alpha1p0,44,6,27,22,0.7424657534246575
cifar,alpha1p0,44,7,30,25,0.8034782608695652
cifar,alpha1p0,44,8,28,23,0.6804123711340206
cifar,alpha1p0,44,9,26,21,0.7719298245614035
cifar,alpha0p5,42,0,23,18,0.7735849056603774
cifar,alpha0p5,42,1,17,12,0.8379629629629629
cifar,alpha0p5,42,2,24,19,0.821917808219178
cifar,alpha0p5,42,3,12,7,0.7311320754716981
cifar,alpha0p5,42,4,20,15,0.8356545961002786
cifar,alpha0p5,42,5,24,19,0.8450413223140496
cifar,alpha0p5,42,6,21,16,0.7283950617283951
cifar,alpha0p5,42,7,21,16,0.6885245901639344
cifar,alpha0p5,42,8,9,4,0.6846153846153846
