dataset,regime,metric,mean,sd,n,seeds,contrast
cifar,alpha1p0,delta_student_test_accuracy,1.376666666666667,0.15947831618540853,3,"42,43,44",expertise
cifar,alpha1p0,delta_student_test_nll,0.021835728502273593,0.03437399393684548,3,"42,43,44",expertise
cifar,alpha1p0,delta_target_accuracy,11.99,1.1464292389851194,3,"42,43,44",expertise
cifar,alpha1p0,delta_target_nll,-0.20378184538386845,0.05053231026297649,3,"42,43,44",expertise
cifar,alpha1p0,delta_target_entropy,-0.05374747386868265,0.025997481589295223,3,"42,43,44",expertise
cifar,alpha1p0,delta_fallback_count,333.3333333333333,577.3502691896258,3,"42,43,44",expertise
cifar,alpha1p0,delta_fallback_rate,0.03333333333333333,0.05773502691896259,3,"42,43,44",expertise
cifar,alpha1p0,delta_mean_selected_teachers,-6.0,0.09999999999999964,3,"42,43,44",expertise
cifar,alpha1p0,delta_effective_teachers,-5.666666666666664,0.493288286231625,3,"42,43,44",expertise
cifar,iid,delta_student_test_accuracy,-0.07666666666666191,0.3852704677669061,3,"42,43,44",expertise
cifar,iid,delta_student_test_nll,0.028680452108383214,0.023516102557652317,3,"42,43,44",expertise
cifar,iid,delta_target_accuracy,1.943333333333334,2.0850019984003225,3,"42,43,44",expertise
cifar,iid,delta_target_nll,-0.059073088836602373,0.028590112434240512,3,"42,43,44",expertise
cifar,iid,delta_target_entropy,-0.02098743753813685,0.008916510530539679,3,"42,43,44",expertise
cifar,iid,delta_fallback_count,1000.0,0.0,3,"42,43,44",expertise
cifar,iid,delta_fallback_rate,0.10000000000000002,1.6996749443881478e-17,3,"42,43,44",expertise
cifar,iid,delta_mean_selected_teachers,-4.866666666666667,0.40414518843273795,3,"42,43,44",expertise
cifar,iid,delta_effective_teachers,-3.866666666666665,0.40414518843273795,3,"42,43,44",expertise
cifar,multi,delta_student_test_accuracy,26.86666666666667,4.145025130603351,3,"42,43,44",expertise
cifar,multi,delta_student_test_nll,0.07423005994160976,0.12847367609512395,3,"42,43,44",expertise
cifar,multi,delta_target_accuracy,44.11333333333333,3.0982306778762196,3,"42,43,44",expertise
cifar,multi,delta_target_nll,-1.2949237216651361,0.018138721436510376,3,"42,43,44",expertise
cifar,multi,delta_target_entropy,-0.6711508138576955,0.026724091914690516,3,"42,43,44",expertise
cifar,multi,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
cifar,multi,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
cifar,multi,delta_mean_selected_teachers,-8.0,0.0,3,"42,43,44",expertise
cifar,multi,delta_effective_teachers,-7.999999999999997,1.0877919644084146e-15,3,"42,43,44",expertise
cifar,single,delta_student_test_accuracy,69.28666666666666,0.7050059101407117,3,"42,43,44",expertise
cifar,single,delta_student_test_nll,-0.9003515954335529,0.20373724521809036,3,"42,43,44",expertise
cifar,single,delta_target_accuracy,90.34,1.1692305161943044,3,"42,43,44",expertise
cifar,single,delta_target_nll,-1.9867991410721684,0.011909365975136092,3,"42,43,44",expertise
cifar,single,delta_target_entropy,-1.1469638840794532,0.025239166014426228,3,"42,43,44",expertise
cifar,single,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
cifar,single,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
