dataset,regime,seed,M_density,classes_without_expert,proxy_coverage,fallback_count,mean_selected_teachers,cache_sha256,M_sha256,proxy_sha256,proxy_labels_sha256,teachers_sha256,artifact_creation_commit
fmnist,alpha1p0,44,0.74,[],1.0,0,7.4,a7e04e10a278a041fa68c771fa9c98d8916cb2f3831289eff95fd5e2a9ca6230,5ac7a53b6128e21ea0477cb372e4a56daf4f6f82226f3a6fe28ad079114814da,56169d4fdedbe0732b5f4cc31ed6d66f01e7e1069f3e908130357af6f5652296,a25cfd1d4a95d4f7a5edf37eefaaa8cfce5b3a5a5bd3b7fc84fc495052c80a57,c4d5954b4f13056feea5316ed8590a576bb05175e882898cdcd37ab1a4e36062,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,alpha0p5,42,0.6,[],1.0,0,6.0,20674465bc735deb70814ebfac924ec77394ab8ef02c262433abc96c7060bf61,b769e384e9d5ae7ac5cc1c63468f1dd82541d0003deae819dedc295f4c75f61f,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,1f50734fff13fb3a38b67f2458855d5abf7c3f2c44e5854886e8419c50ebe421,ae62b839e2f4022947785d58ae954191a1322b455485ff57faff66674ac6f174,7ec812be75663f47fb1c9726f93e3688d8b157f3
fmnist,alpha0p5,43,0.57,[],1.0,0,5.7,2a057311d99ac3f194298094a9bbf40cf6097b66fad43ca4fd46d89a36b9d586,75deb844b9a7e241e896c1c951fb1cd435d473dead215f5c9fa74bee72170ce0,8c10e8dabb252578e55d8ceadb12f9b772d83f07a663edb06566b4924cf6d961,eecbcffdb3e52099e26ebd2485d479a2553a52a6901356aed1ef3b69e9218818,2d060af58e448745459d672f561eb437b0d828015c9eb6a8965d77c1690c89e9,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,alpha0p5,44,0.66,[],1.0,0,6.6,b81389a3da5ca7673413ccd30ccd9b50d31d325183da5e7643bbdac06426d0f3,857a25bd92266db7695da7c8c651f01e785d89bd91b00dc100646971a665bb00,56169d4fdedbe0732b5f4cc31ed6d66f01e7e1069f3e908130357af6f5652296,a25cfd1d4a95d4f7a5edf37eefaaa8cfce5b3a5a5bd3b7fc84fc495052c80a57,ba4441daaacbb1f6446fc0edbe6f08923d5f391492d492bda056de469433ff93,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,alpha0p1,42,0.35,[],1.0,0,3.5,ce2bf18f0d9889cb3d556494fa23be0fe9b556fbed2e0ce78a454b06ea98f885,1d5f60b4392151c74d5e6f97cf77eac708c7c3ca5e82c276e71b1eb2f052d577,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,1f50734fff13fb3a38b67f2458855d5abf7c3f2c44e5854886e8419c50ebe421,3257d958db2713716ddebed651d7333262542aeddb7e60b18bf9cce28726c0f6,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,alpha0p1,43,0.38,[],1.0,0,3.8,4789b5133591bc0eb275a2285796cc8a66586e764bdeca50de645b6db0db73d6,71a8c9248302350eb7ac28adb94bc15c293486b4e8058a10079bdb72962804b5,8c10e8dabb252578e55d8ceadb12f9b772d83f07a663edb06566b4924cf6d961,eecbcffdb3e52099e26ebd2485d479a2553a52a6901356aed1ef3b69e9218818,08d8cd1b1648ea18d99e75a429058baa24da951450ec144da55f3cd7a106b7ee,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,alpha0p1,44,0.42,[],1.0,0,4.2,774771f37d7ff253d090474398a8c62c845efec21dbd006f76cde7cfc97957b2,6a9aa8491e74ec75c7cf558640a5e2c0e3da77c11b35ae0cb96809f7192314f6,56169d4fdedbe0732b5f4cc31ed6d66f01e7e1069f3e908130357af6f5652296,a25cfd1d4a95d4f7a5edf37eefaaa8cfce5b3a5a5bd3b7fc84fc495052c80a57,12db8a5da4705d5d6a4dff260c0d5fa7dabe3fc3819addc3b4f620b61894e055,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,multi,42,0.2,[],1.0,0,2.0,6d10b27dfaace9c4a5feee2285dee50606a90e7786e709b69a487aaf14e902d6,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,1f50734fff13fb3a38b67f2458855d5abf7c3f2c44e5854886e8419c50ebe421,e1ac5ff26e33af915fe7565ac30181188ca7604abe97f1210f765d1ec1b1027a,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,multi,43,0.2,[],1.0,0,2.0,d7e372943c8cefd690b4c3f86847f56783ad27f230c06c93b659f4ced9a20803,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,8c10e8dabb252578e55d8ceadb12f9b772d83f07a663edb06566b4924cf6d961,eecbcffdb3e52099e26ebd2485d479a2553a52a6901356aed1ef3b69e9218818,ca5c6c92f08a2fae5302616c94f040d1f76968d1dc9af056a010dc2f95c2bef2,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,multi,44,0.2,[],1.0,0,2.0,d4833ed743c2fd17384c1be96b47d29968f87f23895aed4c099af547b4f59361,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,56169d4fdedbe0732b5f4cc31ed6d66f01e7e1069f3e908130357af6f5652296,a25cfd1d4a95d4f7a5edf37eefaaa8cfce5b3a5a5bd3b7fc84fc495052c80a57,f22ececba2ebf23ebb9a1a59307e96e17b393ed8be0dafddd8660c425104e09b,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,single,42,0.1,[],1.0,0,1.0,1944f74bb5cfec71f7352901b31e26b9002b539aeee6e16b26bc16662319aa65,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,1f50734fff13fb3a38b67f2458855d5abf7c3f2c44e5854886e8419c50ebe421,9749cc4ed1d5c9ee33c94fdb00671be991da2edc22dc00545438c55571f9b5aa,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,single,43,0.1,[],1.0,0,1.0,52f3cfdd6fc3f7cde0f491f8d9a2856977cdf26a4c756ae607619d987aa00d6c,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,8c10e8dabb252578e55d8ceadb12f9b772d83f07a663edb06566b4924cf6d961,eecbcffdb3e52099e26ebd2485d479a2553a52a6901356aed1ef3b69e9218818,fa44d6ee1c3e061ea1c167c723aa69a4906f8cd654b80af08076a5160cf4ee66,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,single,44,0.1,[],1.0,0,1.0,a0d714f7bc71ad4493f0e5464bb6a5f65205d7082adf9c71bfb90ec754807d5e,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,56169d4fdedbe0732b5f4cc31ed6d66f01e7e1069f3e908130357af6f5652296,a25cfd1d4a95d4f7a5edf37eefaaa8cfce5b3a5a5bd3b7fc84fc495052c80a57,096b32e4fa08b27162bcc21b284ce6ec97447dd5809e2e213e6432d459147d93,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,iid,42,0.55,[3],0.9,1000,5.5,d2636da84362f05b2a0ab8ebb5039b941c6b9310b42eddd0e6007451ba624b46,a549aff87e6ef58b5926807f91025e7e405b52c4fe466412a04e29956c72609c,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,c767ebe865a86b56d6d01724465c016633b77846ecec3a9e6ce3ff7316a0cee0,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,iid,43,0.47,[3],0.9,1000,4.7,313d08a4063e2e70f69684825648a6997881288513eb04c35886ca8ab551e5ca,11f91107f69eaf1c882605cd16eb48579ee7dfc8e92323ee1b304604abe55df7,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,a30466d84c2167613d3936acbd9088e0b788aa8aff26cd30c780c904ff62a213,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,iid,44,0.52,[3],0.9,1000,5.2,2c264eb2b010463c5e733bb95ad9ab1809529bedec649fec20beca0919e18402,059be922475ef12f58bc3781d108bf6a3d24d8a5cf138278e605d74b6f4cc0d1,bb299879f6f7c5c2039d6b8d2a92bcc4d9457d5113e2928c6257cbe8e8881cd5,bbbb2fd925f2d965ef63c9d3518f3862a6f0d89340e133b6232a70cc41007adf,dd0b7c21f3390a3c6290873aa0dd656c1cdb6b9a68867a53bc613538294b7c3c,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha1p0,42,0.41,[],1.0,0,4.1,2fced72dc2506882a06adaefd23cf09c1932e340f877eea2188cd1df360bfb89,307c12102e5bfafaa4901428358ed03a348f46cc8bb17d41a8b8916ca9f0f084,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,85cbfbe78a7794e3f29db17161717f45409cd516082aefb91ce5f350dcbed1fd,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha1p0,43,0.39,[2],0.9,1000,3.9,57cedbe6832891658c68c31967c118a76c45427dea92dce5983ff9569de4839a,6b72a8fb46f07739cf1f388e9162c046d4bf2a53517978e48460aa746fbd56f0,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,788d27dd7bc6ca4b47aaa10b5770124b6c705100c505eea636ec55dd5e5d8f6e,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha1p0,44,0.4,[],1.0,0,4.0,ac64e8a1ac9986df772a8f5f2448b636c350acd0251d36a811a43314d6a2a134,1304f9f4dc5506cdebd6eaee7f035494c59acfde2aa752f3ed9e8a0e585d0f8e,bb299879f6f7c5c2039d6b8d2a92bcc4d9457d5113e2928c6257cbe8e8881cd5,bbbb2fd925f2d965ef63c9d3518f3862a6f0d89340e133b6232a70cc41007adf,0b3b167af657ae0f58a8dcc1a35bc67468335a35e5b93fd2b53191d5c6a8a897,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha0p5,42,0.4,[],1.0,0,4.0,49787a4c00aa71a0b9d980bbbcb54e215aa71ff8388ef7d3c0f859811473975a,22761dd5334f162c8815801a3cf0f9fa93a691bd808e949c32b45509b9351ae9,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,2ea2a4e9eaa7766e29332df4e0f6c6952a9c2d368fe3b823ef1cd548f8ef49b1,7ff045e85bdcdcb19da695baf49045e3320a14d4
