dataset,regime,method,metric,mean,sd,n,seeds
fmnist,alpha0p5,feddf_prob,student_test_accuracy,85.75,0.9469424480928067,3,"42,43,44"
fmnist,alpha0p5,feddf_prob,student_test_nll,0.39831796515782675,0.03210746692146628,3,"42,43,44"
fmnist,alpha0p5,expert_prob,student_test_accuracy,88.89666666666668,0.9360733589486087,3,"42,43,44"
fmnist,alpha0p5,expert_prob,student_test_nll,0.3847650167544683,0.028209385916070938,3,"42,43,44"
fmnist,alpha0p5,expert_prob_sr,student_test_accuracy,88.05999999999999,0.9193475947648945,3,"42,43,44"
fmnist,alpha0p5,expert_prob_sr,student_test_nll,0.9665811054229737,0.30584954874964526,3,"42,43,44"
fmnist,alpha0p5,oracle_prob,student_test_accuracy,89.51666666666665,0.4079624165696311,3,"42,43,44"
fmnist,alpha0p5,oracle_prob,student_test_nll,0.3239157341877619,0.015164198270175107,3,"42,43,44"
fmnist,alpha0p5,feddf_logit,student_test_accuracy,84.93,1.2154011683390784,3,"42,43,44"
fmnist,alpha0p5,feddf_logit,student_test_nll,0.4258972787221273,0.04221872633358101,3,"42,43,44"
fmnist,alpha0p5,oracle_logit,student_test_accuracy,89.23,0.4479955356920413,3,"42,43,44"
fmnist,alpha0p5,oracle_logit,student_test_nll,0.33966936367352796,0.016843171273459797,3,"42,43,44"
fmnist,alpha0p1,feddf_prob,student_test_accuracy,64.71333333333334,14.826767460688567,3,"42,43,44"
fmnist,alpha0p1,feddf_prob,student_test_nll,0.9242388205210368,0.31322760682873374,3,"42,43,44"
fmnist,alpha0p1,expert_prob,student_test_accuracy,89.52666666666667,0.2107921567168341,3,"42,43,44"
fmnist,alpha0p1,expert_prob,student_test_nll,0.5095045478343964,0.04843120629375058,3,"42,43,44"
fmnist,alpha0p1,expert_prob_sr,student_test_accuracy,88.51999999999998,0.7350510186374788,3,"42,43,44"
fmnist,alpha0p1,expert_prob_sr,student_test_nll,1.2382448227087657,0.13057570552609182,3,"42,43,44"
fmnist,alpha0p1,oracle_prob,student_test_accuracy,89.88999999999999,0.4044749683231353,3,"42,43,44"
fmnist,alpha0p1,oracle_prob,student_test_nll,0.4440753270546595,0.03679947446141936,3,"42,43,44"
fmnist,alpha0p1,feddf_logit,student_test_accuracy,55.10999999999999,14.238384739850233,3,"42,43,44"
fmnist,alpha0p1,feddf_logit,student_test_nll,1.7942257780710857,1.2595752279813397,3,"42,43,44"
fmnist,alpha0p1,oracle_logit,student_test_accuracy,89.73666666666666,0.1379613472438299,3,"42,43,44"
fmnist,alpha0p1,oracle_logit,student_test_nll,0.5622648254553476,0.1434148586781678,3,"42,43,44"
fmnist,multi,feddf_prob,student_test_accuracy,39.06333333333333,3.4022982428548696,3,"42,43,44"
fmnist,multi,feddf_prob,student_test_nll,1.8870329577763874,0.05835780513484742,3,"42,43,44"
fmnist,multi,expert_prob,student_test_accuracy,90.03,0.3500000000000035,3,"42,43,44"
fmnist,multi,expert_prob,student_test_nll,1.7003504521687827,0.09190880606857448,3,"42,43,44"
fmnist,multi,expert_prob_sr,student_test_accuracy,89.97666666666667,0.33471380810079004,3,"42,43,44"
fmnist,multi,expert_prob_sr,student_test_nll,2.610021896298726,0.2750378621237846,3,"42,43,44"
fmnist,multi,oracle_prob,student_test_accuracy,89.96999999999998,0.44305755833751564,3,"42,43,44"
fmnist,multi,oracle_prob,student_test_nll,1.7424870854059857,0.06136887091185512,3,"42,43,44"
fmnist,multi,feddf_logit,student_test_accuracy,20.513333333333332,0.5477529856909344,3,"42,43,44"
fmnist,multi,feddf_logit,student_test_nll,7.166186055501302,1.2579710846325223,3,"42,43,44"
fmnist,multi,oracle_logit,student_test_accuracy,89.73,0.6536818798161694,3,"42,43,44"
fmnist,multi,oracle_logit,student_test_nll,1.8309132732391358,0.11908191838435635,3,"42,43,44"
fmnist,single,feddf_prob,student_test_accuracy,10.000000000000002,1.6996749443881478e-15,3,"42,43,44"
fmnist,single,feddf_prob,student_test_nll,2.3025855813344323,9.335012650352743e-07,3,"42,43,44"
fmnist,single,expert_prob,student_test_accuracy,90.29666666666665,0.35161532010612273,3,"42,43,44"
fmnist,single,expert_prob,student_test_nll,2.937379565684001,0.25859788535892375,3,"42,43,44"
fmnist,single,expert_prob_sr,student_test_accuracy,90.45333333333333,0.04509249752822972,3,"42,43,44"
fmnist,single,expert_prob_sr,student_test_nll,2.740965173115581,0.2155254285726891,3,"42,43,44"
fmnist,single,oracle_prob,student_test_accuracy,90.29666666666665,0.35161532010612273,3,"42,43,44"
fmnist,single,oracle_prob,student_test_nll,2.937379565684001,0.25859788535892375,3,"42,43,44"
fmnist,single,feddf_logit,student_test_accuracy,10.346666666666666,0.9298028464859276,3,"42,43,44"
fmnist,single,feddf_logit,student_test_nll,8.374461071777343,1.3088663530451234,3,"42,43,44"
fmnist,single,oracle_logit,student_test_accuracy,90.29666666666665,0.35161532010612273,3,"42,43,44"
fmnist,single,oracle_logit,student_test_nll,2.937379565684001,0.25859788535892375,3,"42,43,44"
cifar,iid,feddf_prob,student_test_accuracy,75.36,0.7301369734508708,3,"42,43,44"
cifar,iid,feddf_prob,student_test_nll,0.7335223841985067,0.032690220061742596,3,"42,43,44"
cifar,iid,expert_prob,student_test_accuracy,75.28333333333333,0.7105866121264406,3,"42,43,44"
cifar,iid,expert_prob,student_test_nll,0.7622028363068899,0.03330426301216335,3,"42,43,44"
cifar,iid,expert_prob_sr,student_test_accuracy,68.75,1.5850236591294136,3,"42,43,44"
cifar,iid,expert_prob_sr,student_test_nll,3.5324946506500243,0.7107141070144201,3,"42,43,44"
cifar,iid,oracle_prob,student_test_accuracy,76.37,0.4592385001282033,3,"42,43,44"
cifar,iid,oracle_prob,student_test_nll,0.705376170905431,0.017299315865296223,3,"42,43,44"
cifar,iid,feddf_logit,student_test_accuracy,75.21,0.42000000000000215,3,"42,43,44"
cifar,iid,feddf_logit,student_test_nll,0.7328482512633006,0.0320921892819779,3,"42,43,44"
cifar,iid,oracle_logit,student_test_accuracy,76.55666666666666,0.5225259164226531,3,"42,43,44"
cifar,iid,oracle_logit,student_test_nll,0.7002397745291392,0.011814437456371289,3,"42,43,44"
cifar,alpha1p0,feddf_prob,student_test_accuracy,74.17999999999999,1.2716524682475192,3,"42,43,44"
cifar,alpha1p0,feddf_prob,student_test_nll,0.7435420334339141,0.027170128808443328,3,"42,43,44"
cifar,alpha1p0,expert_prob,student_test_accuracy,75.55666666666667,1.3588352855785513,3,"42,43,44"
cifar,alpha1p0,expert_prob,student_test_nll,0.7653777619361878,0.03250581039781981,3,"42,43,44"
cifar,alpha1p0,expert_prob_sr,student_test_accuracy,72.77666666666667,1.6951204480311537,3,"42,43,44"
cifar,alpha1p0,expert_prob_sr,student_test_nll,2.465846400197347,0.48467846933583086,3,"42,43,44"
cifar,alpha1p0,oracle_prob,student_test_accuracy,76.60666666666667,0.7750053763254412,3,"42,43,44"
cifar,alpha1p0,oracle_prob,student_test_nll,0.6968602845509847,0.0012868081747667555,3,"42,43,44"
cifar,alpha1p0,feddf_logit,student_test_accuracy,72.82333333333334,0.8787111774259668,3,"42,43,44"
cifar,alpha1p0,feddf_logit,student_test_nll,0.7783066122214,0.026533102221893652,3,"42,43,44"
