dataset,regime,seed,proxy_size,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,contrast
cifar,alpha0p1,44,100,expert_prob,supervised_proxy_ce,17a3b12ed320d59b,32f68ec1925440db9cabf3ee078a8438df26b658587de1040cdf76a952e07ae3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3495,0.3229,0.026599999999999957,3.045626753997803,2.986520663070679,0.05910609092712393,expert_prob − supervised_proxy_ce
cifar,alpha0p1,44,500,expert_prob,supervised_proxy_ce,62fac68a30ab80af,aa3db1f22e84b901e59edcce5f009d15815887a6c7b9c6dd0debe41e58138b51,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4866,0.4684,0.018199999999999994,2.158435578918457,2.260470207977295,-0.10203462905883809,expert_prob − supervised_proxy_ce
cifar,alpha0p1,44,1000,expert_prob,supervised_proxy_ce,9c42badf74541a9b,5f7d74246d0e567e82f2ee2f096e75b7a55bb28a0408f99c1b8263bd37d2ab3d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.573,0.5453,0.027699999999999947,1.8581805570602417,2.0318697334289557,-0.17368917636871406,expert_prob − supervised_proxy_ce
cifar,alpha0p1,44,5000,expert_prob,supervised_proxy_ce,135b677b080bf767,81888981caf8bf3e9cae0c2e32c58d8c1bd65fcfbc2b6c702cc9ec3ee3e93350,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.6824,0.7269,-0.044499999999999984,1.4451084125518798,1.2266300662994385,0.21847834625244134,expert_prob − supervised_proxy_ce
cifar,alpha0p1,44,10000,expert_prob,supervised_proxy_ce,37aeec9803de227f,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7497,0.7871,-0.03739999999999999,1.1247953678131104,0.864531807231903,0.26026356058120736,expert_prob − supervised_proxy_ce
cifar,iid,42,100,expert_prob,supervised_proxy_ce,da7b6ec3376d2c08,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4146,0.3383,0.07630000000000003,1.9504141399383543,2.8901977760314943,-0.93978363609314,expert_prob − supervised_proxy_ce
cifar,iid,42,500,expert_prob,supervised_proxy_ce,54137279e4a9b224,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5777,0.4602,0.1175,1.228393250656128,2.269878453063965,-1.041485202407837,expert_prob − supervised_proxy_ce
cifar,iid,42,1000,expert_prob,supervised_proxy_ce,b94ba5ca2553bfc5,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.6417,0.5467,0.09500000000000008,1.0688322467803957,1.8780779983520508,-0.8092457515716551,expert_prob − supervised_proxy_ce
cifar,iid,42,5000,expert_prob,supervised_proxy_ce,8dfd89bf4b4933ff,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7404,0.7269,0.013499999999999956,0.8116266550064087,1.178120182800293,-0.3664935277938842,expert_prob − supervised_proxy_ce
cifar,iid,42,10000,expert_prob,supervised_proxy_ce,b25818fe5626557a,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7475,0.7938,-0.0462999999999999,0.8006440430164338,0.8560695510864258,-0.055425508069992024,expert_prob − supervised_proxy_ce
cifar,iid,43,100,expert_prob,supervised_proxy_ce,54be8f024e49d19e,f0d05d7d758b709ca01be4ebab7177c8e819a1f7561e33f01c01c46e980675ac,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4027,0.3285,0.07419999999999999,1.8994731769561768,3.044557247543335,-1.145084070587158,expert_prob − supervised_proxy_ce
cifar,iid,43,500,expert_prob,supervised_proxy_ce,f49202f7a420bfc2,450e462119cb17304e21faa68f811d1e5c52cf02f38f316c95121c157a695aa9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5822,0.4772,0.10500000000000004,1.193147322845459,2.2077495231628417,-1.0146022003173827,expert_prob − supervised_proxy_ce
cifar,iid,43,1000,expert_prob,supervised_proxy_ce,afeee36440d91f3c,b53329337dec2e2d74ae59e1cfc8526cdac0d3c9c5e10f4306a2c2a48da5cd41,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.6511,0.5494,0.10170000000000001,1.0283697640419007,2.050018885421753,-1.0216491213798522,expert_prob − supervised_proxy_ce
cifar,iid,43,5000,expert_prob,supervised_proxy_ce,7a4195884a26de7f,c3cbb69fb5477a426c5f3fac47c6578b5e3fcb06cf655bb618f41b0df5726d2b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7328,0.7301,0.0027000000000000357,0.8376020664215088,1.2131696081161498,-0.375567541694641,expert_prob − supervised_proxy_ce
cifar,iid,43,10000,expert_prob,supervised_proxy_ce,732fa36ec846a6f7,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7609,0.7895,-0.02859999999999996,0.742044600391388,0.9055568433761596,-0.16351224298477163,expert_prob − supervised_proxy_ce
cifar,iid,44,100,expert_prob,supervised_proxy_ce,2adfeaea012ffc17,32f68ec1925440db9cabf3ee078a8438df26b658587de1040cdf76a952e07ae3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4097,0.3229,0.08679999999999999,1.823207033920288,2.986520663070679,-1.163313629150391,expert_prob − supervised_proxy_ce
cifar,iid,44,500,expert_prob,supervised_proxy_ce,c418af63128e3e69,aa3db1f22e84b901e59edcce5f009d15815887a6c7b9c6dd0debe41e58138b51,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5723,0.4684,0.10390000000000005,1.1808553525924683,2.260470207977295,-1.0796148553848268,expert_prob − supervised_proxy_ce
cifar,iid,44,1000,expert_prob,supervised_proxy_ce,85e3d7f32064152a,5f7d74246d0e567e82f2ee2f096e75b7a55bb28a0408f99c1b8263bd37d2ab3d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.6609,0.5453,0.11560000000000004,0.9701654594421388,2.0318697334289557,-1.061704273986817,expert_prob − supervised_proxy_ce
cifar,iid,44,5000,expert_prob,supervised_proxy_ce,0c0d42c1537f3b45,81888981caf8bf3e9cae0c2e32c58d8c1bd65fcfbc2b6c702cc9ec3ee3e93350,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7386,0.7269,0.011700000000000044,0.7768108817100525,1.2266300662994385,-0.44981918458938597,expert_prob − supervised_proxy_ce
cifar,iid,44,10000,expert_prob,supervised_proxy_ce,f048d10da4d4f8c5,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7501,0.7871,-0.03700000000000003,0.7439198655128479,0.864531807231903,-0.1206119417190551,expert_prob − supervised_proxy_ce
cifar,single,42,100,expert_prob,supervised_proxy_ce,e2401c3829e09d4c,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3259,0.3383,-0.012399999999999967,4.596441403961181,2.8901977760314943,1.706243627929687,expert_prob − supervised_proxy_ce
cifar,single,42,500,expert_prob,supervised_proxy_ce,c6d58c4fbb89382f,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4903,0.4602,0.030100000000000016,3.079330432128906,2.269878453063965,0.8094519790649413,expert_prob − supervised_proxy_ce
cifar,single,42,1000,expert_prob,supervised_proxy_ce,2d4c87c3549f39e5,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5687,0.5467,0.02200000000000002,2.766572400665283,1.8780779983520508,0.8884944023132324,expert_prob − supervised_proxy_ce
cifar,single,42,5000,expert_prob,supervised_proxy_ce,6980750e1eab8bd2,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7384,0.7269,0.011499999999999955,1.9537447006225583,1.178120182800293,0.7756245178222654,expert_prob − supervised_proxy_ce
cifar,single,42,10000,expert_prob,supervised_proxy_ce,f384e4ed50945edc,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7827,0.7938,-0.011099999999999999,1.7387799139022828,0.8560695510864258,0.882710362815857,expert_prob − supervised_proxy_ce
cifar,single,43,100,expert_prob,supervised_proxy_ce,11467004afb982b8,f0d05d7d758b709ca01be4ebab7177c8e819a1f7561e33f01c01c46e980675ac,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3267,0.3285,-0.0018000000000000238,4.437178745651245,3.044557247543335,1.3926214981079101,expert_prob − supervised_proxy_ce
cifar,single,43,500,expert_prob,supervised_proxy_ce,bd411a0f802bf1e8,450e462119cb17304e21faa68f811d1e5c52cf02f38f316c95121c157a695aa9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5048,0.4772,0.027600000000000013,3.106520620727539,2.2077495231628417,0.8987710975646972,expert_prob − supervised_proxy_ce
cifar,single,43,1000,expert_prob,supervised_proxy_ce,69288df85a676568,b53329337dec2e2d74ae59e1cfc8526cdac0d3c9c5e10f4306a2c2a48da5cd41,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5735,0.5494,0.02410000000000001,2.85427681350708,2.050018885421753,0.804257928085327,expert_prob − supervised_proxy_ce
cifar,single,43,5000,expert_prob,supervised_proxy_ce,66beffd34a6a9318,c3cbb69fb5477a426c5f3fac47c6578b5e3fcb06cf655bb618f41b0df5726d2b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7445,0.7301,0.01440000000000008,1.892447516822815,1.2131696081161498,0.6792779087066652,expert_prob − supervised_proxy_ce
cifar,single,43,10000,expert_prob,supervised_proxy_ce,9d78cd505aef877c,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.8018,0.7895,0.012299999999999978,1.558212961578369,0.9055568433761596,0.6526561182022095,expert_prob − supervised_proxy_ce
cifar,single,44,100,expert_prob,supervised_proxy_ce,64027772f152c5b6,32f68ec1925440db9cabf3ee078a8438df26b658587de1040cdf76a952e07ae3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3398,0.3229,0.01689999999999997,4.326822142028808,2.986520663070679,1.3403014789581293,expert_prob − supervised_proxy_ce
cifar,single,44,500,expert_prob,supervised_proxy_ce,69bc90398f3a839f,aa3db1f22e84b901e59edcce5f009d15815887a6c7b9c6dd0debe41e58138b51,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4967,0.4684,0.028299999999999992,3.453469843292236,2.260470207977295,1.192999635314941,expert_prob − supervised_proxy_ce
cifar,single,44,1000,expert_prob,supervised_proxy_ce,d761a8630e8726f6,5f7d74246d0e567e82f2ee2f096e75b7a55bb28a0408f99c1b8263bd37d2ab3d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.587,0.5453,0.04169999999999996,2.921005297088623,2.0318697334289557,0.8891355636596674,expert_prob − supervised_proxy_ce
cifar,single,44,5000,expert_prob,supervised_proxy_ce,90d6a72f187e0e8a,81888981caf8bf3e9cae0c2e32c58d8c1bd65fcfbc2b6c702cc9ec3ee3e93350,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.7229,0.7269,-0.0040000000000000036,2.181350838851929,1.2266300662994385,0.9547207725524904,expert_prob − supervised_proxy_ce
cifar,single,44,10000,expert_prob,supervised_proxy_ce,5284426a3da466ef,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.7783,0.7871,-0.00880000000000003,1.839888500785828,0.864531807231903,0.9753566935539251,expert_prob − supervised_proxy_ce
cifar,alpha0p1,42,100,feddf_prob,supervised_proxy_ce,75a4a7e1221099e2,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.2326,0.3383,-0.10569999999999999,2.5807671783447264,2.8901977760314943,-0.30943059768676795,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,42,500,feddf_prob,supervised_proxy_ce,ce30ff3f847b9f4e,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.2623,0.4602,-0.19790000000000002,2.258867630004883,2.269878453063965,-0.011010823059081964,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,42,1000,feddf_prob,supervised_proxy_ce,e966f350c7b8770c,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.2827,0.5467,-0.26399999999999996,2.2291786682128905,1.8780779983520508,0.35110066986083965,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,42,5000,feddf_prob,supervised_proxy_ce,43b7a8f22cfffd32,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3867,0.7269,-0.3402,1.798750506210327,1.178120182800293,0.6206303234100341,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,42,10000,feddf_prob,supervised_proxy_ce,a9de3e3fa5f06018,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.3653,0.7938,-0.42849999999999994,1.8135118171691893,0.8560695510864258,0.9574422660827635,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,43,100,feddf_prob,supervised_proxy_ce,34df435b05a7e6f0,f0d05d7d758b709ca01be4ebab7177c8e819a1f7561e33f01c01c46e980675ac,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.2978,0.3285,-0.030700000000000005,2.1451960708618163,3.044557247543335,-0.8993611766815186,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,43,500,feddf_prob,supervised_proxy_ce,7f9048de5aab7286,450e462119cb17304e21faa68f811d1e5c52cf02f38f316c95121c157a695aa9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.3852,0.4772,-0.09200000000000003,1.779610241317749,2.2077495231628417,-0.42813928184509265,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,43,1000,feddf_prob,supervised_proxy_ce,37ad822a7f1f62e0,b53329337dec2e2d74ae59e1cfc8526cdac0d3c9c5e10f4306a2c2a48da5cd41,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.4482,0.5494,-0.10120000000000001,1.571209840965271,2.050018885421753,-0.47880904445648187,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,43,5000,feddf_prob,supervised_proxy_ce,bd79103440c581e3,c3cbb69fb5477a426c5f3fac47c6578b5e3fcb06cf655bb618f41b0df5726d2b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_feddf_prob.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_proxy_size_expert_prob.csv,0.5267,0.7301,-0.20340000000000003,1.302820938873291,1.2131696081161498,0.08965133075714116,feddf_prob − supervised_proxy_ce
cifar,alpha0p1,43,10000,feddf_prob,supervised_proxy_ce,16fbdea328414ca8,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_supervised_proxy.csv,0.5193,0.7895,-0.2702,1.310298741722107,0.9055568433761596,0.4047418983459474,feddf_prob − supervised_proxy_ce
