dataset,regime,method,metric,mean,n,seeds,source
fmnist,iid,supervised_proxy_ce,student_test_accuracy,0.8977333333333334,3,"42,43,44",published absolute anchor
fmnist,iid,feddf_logit,student_test_nll,0.3465636831323305,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,feddf_prob,student_test_nll,0.3466545186241467,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,oracle_logit,student_test_nll,0.3267429481903712,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,oracle_prob,student_test_nll,0.3278566673437754,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,expert_prob,student_test_nll,0.3470316455006599,3,"42,43,44",published absolute anchor
fmnist,iid,expert_prob_sr,student_test_nll,1.4266179936726888,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,supervised_proxy_ce,student_test_nll,0.3962733708858489,3,"42,43,44",published absolute anchor
fmnist,alpha1p0,feddf_logit,student_test_accuracy,0.8687666666666668,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,feddf_prob,student_test_accuracy,0.8776333333333334,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,oracle_logit,student_test_accuracy,0.8955,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,oracle_prob,student_test_accuracy,0.8962333333333332,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,expert_prob,student_test_accuracy,0.8874666666666666,3,"42,43,44",published absolute anchor
fmnist,alpha1p0,expert_prob_sr,student_test_accuracy,0.8846,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,supervised_proxy_ce,student_test_accuracy,0.8977333333333334,3,"42,43,44",published absolute anchor
fmnist,alpha1p0,feddf_logit,student_test_nll,0.37857936595280967,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,feddf_prob,student_test_nll,0.3531983311573665,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,oracle_logit,student_test_nll,0.3169430905063947,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,oracle_prob,student_test_nll,0.3097270888090134,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,expert_prob,student_test_nll,0.3773205910523732,3,"42,43,44",published absolute anchor
fmnist,alpha1p0,expert_prob_sr,student_test_nll,1.0259948998769124,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha1p0,supervised_proxy_ce,student_test_nll,0.3962733708858489,3,"42,43,44",published absolute anchor
fmnist,alpha0p5,feddf_logit,student_test_accuracy,0.8493,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,feddf_prob,student_test_accuracy,0.8574999999999999,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,oracle_logit,student_test_accuracy,0.8923,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,oracle_prob,student_test_accuracy,0.8951666666666666,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,expert_prob,student_test_accuracy,0.8889666666666667,3,"42,43,44",published absolute anchor
fmnist,alpha0p5,expert_prob_sr,student_test_accuracy,0.8806,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,supervised_proxy_ce,student_test_accuracy,0.8977333333333334,3,"42,43,44",published absolute anchor
fmnist,alpha0p5,feddf_logit,student_test_nll,0.4258972787221272,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,feddf_prob,student_test_nll,0.3983179651578267,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,oracle_logit,student_test_nll,0.33966936367352807,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,oracle_prob,student_test_nll,0.323915734187762,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,expert_prob,student_test_nll,0.3847650167544683,3,"42,43,44",published absolute anchor
fmnist,alpha0p5,expert_prob_sr,student_test_nll,0.9665811054229737,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p5,supervised_proxy_ce,student_test_nll,0.3962733708858489,3,"42,43,44",published absolute anchor
fmnist,alpha0p1,feddf_logit,student_test_accuracy,0.5510999999999999,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,feddf_prob,student_test_accuracy,0.6471333333333332,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,oracle_logit,student_test_accuracy,0.8973666666666666,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,oracle_prob,student_test_accuracy,0.8988999999999999,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,expert_prob,student_test_accuracy,0.8952666666666667,3,"42,43,44",published absolute anchor
fmnist,alpha0p1,expert_prob_sr,student_test_accuracy,0.8852,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,supervised_proxy_ce,student_test_accuracy,0.8977333333333334,3,"42,43,44",published absolute anchor
fmnist,alpha0p1,feddf_logit,student_test_nll,1.7942257780710853,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,feddf_prob,student_test_nll,0.9242388205210368,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,oracle_logit,student_test_nll,0.5622648254553477,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,oracle_prob,student_test_nll,0.4440753270546596,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,expert_prob,student_test_nll,0.5095045478343964,3,"42,43,44",published absolute anchor
fmnist,alpha0p1,expert_prob_sr,student_test_nll,1.2382448227087657,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,alpha0p1,supervised_proxy_ce,student_test_nll,0.3962733708858489,3,"42,43,44",published absolute anchor
fmnist,multi,feddf_logit,student_test_accuracy,0.20513333333333328,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,feddf_prob,student_test_accuracy,0.3906333333333333,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,oracle_logit,student_test_accuracy,0.8973000000000001,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,oracle_prob,student_test_accuracy,0.8996999999999999,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,expert_prob,student_test_accuracy,0.9003,3,"42,43,44",published absolute anchor
fmnist,multi,expert_prob_sr,student_test_accuracy,0.8997666666666667,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,supervised_proxy_ce,student_test_accuracy,0.8977333333333334,3,"42,43,44",published absolute anchor
fmnist,multi,feddf_logit,student_test_nll,7.166186055501302,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,feddf_prob,student_test_nll,1.8870329577763878,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,oracle_logit,student_test_nll,1.830913273239136,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,oracle_prob,student_test_nll,1.742487085405986,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,expert_prob,student_test_nll,1.7003504521687829,3,"42,43,44",published absolute anchor
fmnist,multi,expert_prob_sr,student_test_nll,2.6100218962987265,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,multi,supervised_proxy_ce,student_test_nll,0.3962733708858489,3,"42,43,44",published absolute anchor
fmnist,single,feddf_logit,student_test_accuracy,0.10346666666666647,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,feddf_prob,student_test_accuracy,0.09999999999999987,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,oracle_logit,student_test_accuracy,0.9029666666666666,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,oracle_prob,student_test_accuracy,0.9029666666666666,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,expert_prob,student_test_accuracy,0.9029666666666666,3,"42,43,44",published absolute anchor
fmnist,single,expert_prob_sr,student_test_accuracy,0.9045333333333332,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,supervised_proxy_ce,student_test_accuracy,0.8977333333333334,3,"42,43,44",published absolute anchor
fmnist,single,feddf_logit,student_test_nll,8.374461071777343,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,feddf_prob,student_test_nll,2.3025855813344323,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,oracle_logit,student_test_nll,2.937379565684001,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,oracle_prob,student_test_nll,2.937379565684001,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,expert_prob,student_test_nll,2.937379565684001,3,"42,43,44",published absolute anchor
fmnist,single,expert_prob_sr,student_test_nll,2.7409651731155815,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,single,supervised_proxy_ce,student_test_nll,0.3962733708858489,3,"42,43,44",published absolute anchor
cifar,iid,feddf_logit,student_test_accuracy,0.7521,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,feddf_prob,student_test_accuracy,0.7535999999999999,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,oracle_logit,student_test_accuracy,0.7655666666666665,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,oracle_prob,student_test_accuracy,0.7636999999999999,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,expert_prob,student_test_accuracy,0.7528333333333334,3,"42,43,44",published absolute anchor
cifar,iid,expert_prob_sr,student_test_accuracy,0.6875,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,supervised_proxy_ce,student_test_accuracy,0.7901333333333334,3,"42,43,44",published absolute anchor
cifar,iid,feddf_logit,student_test_nll,0.7328482512633007,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,feddf_prob,student_test_nll,0.7335223841985067,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,oracle_logit,student_test_nll,0.7002397745291393,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,oracle_prob,student_test_nll,0.7053761709054311,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,expert_prob,student_test_nll,0.7622028363068899,3,"42,43,44",published absolute anchor
cifar,iid,expert_prob_sr,student_test_nll,3.532494650650024,3,"42,43,44",absolute anchor plus paired mean differences
cifar,iid,supervised_proxy_ce,student_test_nll,0.8753860672314961,3,"42,43,44",published absolute anchor
cifar,alpha1p0,feddf_logit,student_test_accuracy,0.7282333333333335,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,feddf_prob,student_test_accuracy,0.7418000000000001,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,oracle_logit,student_test_accuracy,0.7646333333333334,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,oracle_prob,student_test_accuracy,0.7660666666666667,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,expert_prob,student_test_accuracy,0.7555666666666667,3,"42,43,44",published absolute anchor
cifar,alpha1p0,expert_prob_sr,student_test_accuracy,0.7277666666666668,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,supervised_proxy_ce,student_test_accuracy,0.7901333333333334,3,"42,43,44",published absolute anchor
cifar,alpha1p0,feddf_logit,student_test_nll,0.7783066122214,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,feddf_prob,student_test_nll,0.7435420334339142,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,oracle_logit,student_test_nll,0.7045426039377849,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,oracle_prob,student_test_nll,0.6968602845509848,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,expert_prob,student_test_nll,0.7653777619361878,3,"42,43,44",published absolute anchor
cifar,alpha1p0,expert_prob_sr,student_test_nll,2.465846400197347,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha1p0,supervised_proxy_ce,student_test_nll,0.8753860672314961,3,"42,43,44",published absolute anchor
cifar,alpha0p5,feddf_logit,student_test_accuracy,0.6529666666666668,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,feddf_prob,student_test_accuracy,0.6883666666666667,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,oracle_logit,student_test_accuracy,0.7515666666666667,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,oracle_prob,student_test_accuracy,0.7589333333333333,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,expert_prob,student_test_accuracy,0.7538,3,"42,43,44",published absolute anchor
cifar,alpha0p5,expert_prob_sr,student_test_accuracy,0.7137333333333334,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,supervised_proxy_ce,student_test_accuracy,0.7901333333333334,3,"42,43,44",published absolute anchor
cifar,alpha0p5,feddf_logit,student_test_nll,1.008356170018514,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,feddf_prob,student_test_nll,0.8881402170817058,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,oracle_logit,student_test_nll,0.7860764590899151,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,oracle_prob,student_test_nll,0.7388271567344666,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,expert_prob,student_test_nll,0.7905251474380494,3,"42,43,44",published absolute anchor
cifar,alpha0p5,expert_prob_sr,student_test_nll,2.7135889925638836,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p5,supervised_proxy_ce,student_test_nll,0.8753860672314961,3,"42,43,44",published absolute anchor
cifar,alpha0p1,feddf_logit,student_test_accuracy,0.3527,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,feddf_prob,student_test_accuracy,0.47813333333333335,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,oracle_logit,student_test_accuracy,0.7420333333333333,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,oracle_prob,student_test_accuracy,0.7231333333333334,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,expert_prob,student_test_accuracy,0.7637,3,"42,43,44",published absolute anchor
cifar,alpha0p1,expert_prob_sr,student_test_accuracy,0.6962666666666667,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,supervised_proxy_ce,student_test_accuracy,0.7901333333333334,3,"42,43,44",published absolute anchor
cifar,alpha0p1,feddf_logit,student_test_nll,2.0619527886708577,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,feddf_prob,student_test_nll,1.469691698773702,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,oracle_logit,student_test_nll,1.1708802766799928,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,oracle_prob,student_test_nll,1.2107145736694336,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,expert_prob,student_test_nll,1.0287244489034018,3,"42,43,44",published absolute anchor
cifar,alpha0p1,expert_prob_sr,student_test_nll,3.6734299149831138,3,"42,43,44",absolute anchor plus paired mean differences
cifar,alpha0p1,supervised_proxy_ce,student_test_nll,0.8753860672314961,3,"42,43,44",published absolute anchor
cifar,multi,feddf_logit,student_test_accuracy,0.36836666666666684,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,feddf_prob,student_test_accuracy,0.4823000000000002,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,oracle_logit,student_test_accuracy,0.7516666666666666,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,oracle_prob,student_test_accuracy,0.7511666666666666,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,expert_prob,student_test_accuracy,0.7509666666666668,3,"42,43,44",published absolute anchor
cifar,multi,expert_prob_sr,student_test_accuracy,0.7378333333333335,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,supervised_proxy_ce,student_test_accuracy,0.7901333333333334,3,"42,43,44",published absolute anchor
cifar,multi,feddf_logit,student_test_nll,1.8996747895558677,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,feddf_prob,student_test_nll,1.501498905436198,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,oracle_logit,student_test_nll,1.5216600765228272,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,oracle_prob,student_test_nll,1.5118693726857504,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,expert_prob,student_test_nll,1.5757289653778077,3,"42,43,44",published absolute anchor
cifar,multi,expert_prob_sr,student_test_nll,5.723361262003581,3,"42,43,44",absolute anchor plus paired mean differences
cifar,multi,supervised_proxy_ce,student_test_nll,0.8753860672314961,3,"42,43,44",published absolute anchor
cifar,single,feddf_logit,student_test_accuracy,0.09873333333333334,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,feddf_prob,student_test_accuracy,0.09473333333333334,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,oracle_logit,student_test_accuracy,0.7876,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,oracle_prob,student_test_accuracy,0.7876,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,expert_prob,student_test_accuracy,0.7876,3,"42,43,44",published absolute anchor
cifar,single,expert_prob_sr,student_test_accuracy,0.7933333333333332,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,supervised_proxy_ce,student_test_accuracy,0.7901333333333334,3,"42,43,44",published absolute anchor
cifar,single,feddf_logit,student_test_nll,2.685259525426229,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,feddf_prob,student_test_nll,2.6126453875223796,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,oracle_logit,student_test_nll,1.7122937920888266,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,oracle_prob,student_test_nll,1.7122937920888266,3,"42,43,44",absolute anchor plus paired mean differences
cifar,single,expert_prob,student_test_nll,1.7122937920888266,3,"42,43,44",published absolute anchor
cifar,single,expert_prob_sr,student_test_nll,5.327596418253581,3,"42,43,44",absolute anchor plus paired mean differences
