dataset,regime,seed,method,status,rows
fmnist,iid,43,energy_logit,present,1
fmnist,iid,43,expert_logit,present,1
fmnist,iid,43,oracle_logit,present,1
fmnist,iid,43,expert_prob,present,1
fmnist,iid,43,expert_prob_sr,present,1
fmnist,iid,43,oracle_prob,present,1
fmnist,iid,44,feddf_logit,present,1
fmnist,iid,44,feddf_prob,present,1
fmnist,iid,44,confidence_logit,present,1
fmnist,iid,44,consensus_logit,present,1
fmnist,iid,44,energy_logit,present,1
fmnist,iid,44,expert_logit,present,1
fmnist,iid,44,oracle_logit,present,1
fmnist,iid,44,expert_prob,present,1
fmnist,iid,44,expert_prob_sr,present,1
fmnist,iid,44,oracle_prob,present,1
fmnist,alpha1p0,42,feddf_logit,present,1
fmnist,alpha1p0,42,feddf_prob,present,1
fmnist,alpha1p0,42,confidence_logit,present,1
fmnist,alpha1p0,42,consensus_logit,present,1
fmnist,alpha1p0,42,energy_logit,present,1
fmnist,alpha1p0,42,expert_logit,present,1
fmnist,alpha1p0,42,oracle_logit,present,1
fmnist,alpha1p0,42,expert_prob,present,1
fmnist,alpha1p0,42,expert_prob_sr,present,1
fmnist,alpha1p0,42,oracle_prob,present,1
fmnist,alpha1p0,43,feddf_logit,present,1
fmnist,alpha1p0,43,feddf_prob,present,1
fmnist,alpha1p0,43,confidence_logit,present,1
fmnist,alpha1p0,43,consensus_logit,present,1
fmnist,alpha1p0,43,energy_logit,present,1
fmnist,alpha1p0,43,expert_logit,present,1
fmnist,alpha1p0,43,oracle_logit,present,1
fmnist,alpha1p0,43,expert_prob,present,1
fmnist,alpha1p0,43,expert_prob_sr,present,1
fmnist,alpha1p0,43,oracle_prob,present,1
fmnist,alpha1p0,44,feddf_logit,present,1
fmnist,alpha1p0,44,feddf_prob,present,1
fmnist,alpha1p0,44,confidence_logit,present,1
fmnist,alpha1p0,44,consensus_logit,present,1
fmnist,alpha1p0,44,energy_logit,present,1
fmnist,alpha1p0,44,expert_logit,present,1
fmnist,alpha1p0,44,oracle_logit,present,1
fmnist,alpha1p0,44,expert_prob,present,1
fmnist,alpha1p0,44,expert_prob_sr,present,1
fmnist,alpha1p0,44,oracle_prob,present,1
fmnist,alpha0p5,42,feddf_logit,present,1
fmnist,alpha0p5,42,feddf_prob,present,1
fmnist,alpha0p5,42,confidence_logit,present,1
fmnist,alpha0p5,42,consensus_logit,present,1
fmnist,alpha0p5,42,energy_logit,present,1
fmnist,alpha0p5,42,expert_logit,present,1
fmnist,alpha0p5,42,oracle_logit,present,1
fmnist,alpha0p5,42,expert_prob,present,1
fmnist,alpha0p5,42,expert_prob_sr,present,1
fmnist,alpha0p5,42,oracle_prob,present,1
fmnist,alpha0p5,43,feddf_logit,present,1
fmnist,alpha0p5,43,feddf_prob,present,1
fmnist,alpha0p5,43,confidence_logit,present,1
fmnist,alpha0p5,43,consensus_logit,present,1
fmnist,alpha0p5,43,energy_logit,present,1
fmnist,alpha0p5,43,expert_logit,present,1
fmnist,alpha0p5,43,oracle_logit,present,1
fmnist,alpha0p5,43,expert_prob,present,1
fmnist,alpha0p5,43,expert_prob_sr,present,1
fmnist,alpha0p5,43,oracle_prob,present,1
fmnist,alpha0p5,44,feddf_logit,present,1
fmnist,alpha0p5,44,feddf_prob,present,1
fmnist,alpha0p5,44,confidence_logit,present,1
fmnist,alpha0p5,44,consensus_logit,present,1
fmnist,alpha0p5,44,energy_logit,present,1
fmnist,alpha0p5,44,expert_logit,present,1
fmnist,alpha0p5,44,oracle_logit,present,1
fmnist,alpha0p5,44,expert_prob,present,1
fmnist,alpha0p5,44,expert_prob_sr,present,1
fmnist,alpha0p5,44,oracle_prob,present,1
fmnist,alpha0p1,42,feddf_logit,present,1
fmnist,alpha0p1,42,feddf_prob,present,1
fmnist,alpha0p1,42,confidence_logit,present,1
fmnist,alpha0p1,42,consensus_logit,present,1
fmnist,alpha0p1,42,energy_logit,present,1
fmnist,alpha0p1,42,expert_logit,present,1
fmnist,alpha0p1,42,oracle_logit,present,1
fmnist,alpha0p1,42,expert_prob,present,1
fmnist,alpha0p1,42,expert_prob_sr,present,1
fmnist,alpha0p1,42,oracle_prob,present,1
fmnist,alpha0p1,43,feddf_logit,present,1
fmnist,alpha0p1,43,feddf_prob,present,1
fmnist,alpha0p1,43,confidence_logit,present,1
fmnist,alpha0p1,43,consensus_logit,present,1
fmnist,alpha0p1,43,energy_logit,present,1
fmnist,alpha0p1,43,expert_logit,present,1
fmnist,alpha0p1,43,oracle_logit,present,1
fmnist,alpha0p1,43,expert_prob,present,1
fmnist,alpha0p1,43,expert_prob_sr,present,1
fmnist,alpha0p1,43,oracle_prob,present,1
fmnist,alpha0p1,44,feddf_logit,present,1
fmnist,alpha0p1,44,feddf_prob,present,1
fmnist,alpha0p1,44,confidence_logit,present,1
fmnist,alpha0p1,44,consensus_logit,present,1
fmnist,alpha0p1,44,energy_logit,present,1
fmnist,alpha0p1,44,expert_logit,present,1
fmnist,alpha0p1,44,oracle_logit,present,1
fmnist,alpha0p1,44,expert_prob,present,1
fmnist,alpha0p1,44,expert_prob_sr,present,1
fmnist,alpha0p1,44,oracle_prob,present,1
fmnist,multi,42,feddf_logit,present,1
fmnist,multi,42,feddf_prob,present,1
fmnist,multi,42,confidence_logit,present,1
fmnist,multi,42,consensus_logit,present,1
fmnist,multi,42,energy_logit,present,1
fmnist,multi,42,expert_logit,present,1
fmnist,multi,42,oracle_logit,present,1
fmnist,multi,42,expert_prob,present,1
fmnist,multi,42,expert_prob_sr,present,1
fmnist,multi,42,oracle_prob,present,1
fmnist,multi,43,feddf_logit,present,1
fmnist,multi,43,feddf_prob,present,1
fmnist,multi,43,confidence_logit,present,1
fmnist,multi,43,consensus_logit,present,1
fmnist,multi,43,energy_logit,present,1
fmnist,multi,43,expert_logit,present,1
fmnist,multi,43,oracle_logit,present,1
fmnist,multi,43,expert_prob,present,1
fmnist,multi,43,expert_prob_sr,present,1
fmnist,multi,43,oracle_prob,present,1
fmnist,multi,44,feddf_logit,present,1
fmnist,multi,44,feddf_prob,present,1
fmnist,multi,44,confidence_logit,present,1
fmnist,multi,44,consensus_logit,present,1
fmnist,multi,44,energy_logit,present,1
fmnist,multi,44,expert_logit,present,1
fmnist,multi,44,oracle_logit,present,1
fmnist,multi,44,expert_prob,present,1
fmnist,multi,44,expert_prob_sr,present,1
fmnist,multi,44,oracle_prob,present,1
fmnist,single,42,feddf_logit,present,1
fmnist,single,42,feddf_prob,present,1
fmnist,single,42,confidence_logit,present,1
fmnist,single,42,consensus_logit,present,1
fmnist,single,42,energy_logit,present,1
fmnist,single,42,expert_logit,present,1
fmnist,single,42,oracle_logit,present,1
fmnist,single,42,expert_prob,present,1
fmnist,single,42,expert_prob_sr,present,1
fmnist,single,42,oracle_prob,present,1
fmnist,single,43,feddf_logit,present,1
fmnist,single,43,feddf_prob,present,1
fmnist,single,43,confidence_logit,present,1
fmnist,single,43,consensus_logit,present,1
fmnist,single,43,energy_logit,present,1
fmnist,single,43,expert_logit,present,1
fmnist,single,43,oracle_logit,present,1
fmnist,single,43,expert_prob,present,1
fmnist,single,43,expert_prob_sr,present,1
fmnist,single,43,oracle_prob,present,1
fmnist,single,44,feddf_logit,present,1
fmnist,single,44,feddf_prob,present,1
fmnist,single,44,confidence_logit,present,1
fmnist,single,44,consensus_logit,present,1
fmnist,single,44,energy_logit,present,1
fmnist,single,44,expert_logit,present,1
fmnist,single,44,oracle_logit,present,1
fmnist,single,44,expert_prob,present,1
fmnist,single,44,expert_prob_sr,present,1
fmnist,single,44,oracle_prob,present,1
cifar,iid,42,feddf_logit,present,1
cifar,iid,42,feddf_prob,present,1
cifar,iid,42,confidence_logit,present,1
cifar,iid,42,consensus_logit,present,1
cifar,iid,42,energy_logit,present,1
cifar,iid,42,expert_logit,present,1
cifar,iid,42,oracle_logit,present,1
cifar,iid,42,expert_prob,present,1
cifar,iid,42,expert_prob_sr,present,1
cifar,iid,42,oracle_prob,present,1
cifar,iid,43,feddf_logit,present,1
cifar,iid,43,feddf_prob,present,1
cifar,iid,43,confidence_logit,pending,0
cifar,iid,43,consensus_logit,pending,0
cifar,iid,43,energy_logit,pending,0
cifar,iid,43,expert_logit,pending,0
cifar,iid,43,oracle_logit,present,1
cifar,iid,43,expert_prob,present,1
cifar,iid,43,expert_prob_sr,present,1
cifar,iid,43,oracle_prob,present,1
cifar,iid,44,feddf_logit,present,1
cifar,iid,44,feddf_prob,present,1
cifar,iid,44,confidence_logit,pending,0
cifar,iid,44,consensus_logit,pending,0
cifar,iid,44,energy_logit,pending,0
cifar,iid,44,expert_logit,pending,0
cifar,iid,44,oracle_logit,present,1
cifar,iid,44,expert_prob,present,1
cifar,iid,44,expert_prob_sr,present,1
cifar,iid,44,oracle_prob,present,1
cifar,alpha1p0,42,feddf_logit,present,1
cifar,alpha1p0,42,feddf_prob,present,1
cifar,alpha1p0,42,confidence_logit,present,1
cifar,alpha1p0,42,consensus_logit,present,1
cifar,alpha1p0,42,energy_logit,present,1
cifar,alpha1p0,42,expert_logit,present,1
cifar,alpha1p0,42,oracle_logit,present,1
cifar,alpha1p0,42,expert_prob,present,1
cifar,alpha1p0,42,expert_prob_sr,present,1
cifar,alpha1p0,42,oracle_prob,present,1
cifar,alpha1p0,43,feddf_logit,present,1
cifar,alpha1p0,43,feddf_prob,present,1
cifar,alpha1p0,43,confidence_logit,pending,0
cifar,alpha1p0,43,consensus_logit,pending,0
cifar,alpha1p0,43,energy_logit,pending,0
cifar,alpha1p0,43,expert_logit,pending,0
cifar,alpha1p0,43,oracle_logit,present,1
cifar,alpha1p0,43,expert_prob,present,1
cifar,alpha1p0,43,expert_prob_sr,present,1
cifar,alpha1p0,43,oracle_prob,present,1
cifar,alpha1p0,44,feddf_logit,present,1
cifar,alpha1p0,44,feddf_prob,present,1
cifar,alpha1p0,44,confidence_logit,pending,0
cifar,alpha1p0,44,consensus_logit,pending,0
cifar,alpha1p0,44,energy_logit,pending,0
cifar,alpha1p0,44,expert_logit,pending,0
cifar,alpha1p0,44,oracle_logit,present,1
cifar,alpha1p0,44,expert_prob,present,1
cifar,alpha1p0,44,expert_prob_sr,present,1
cifar,alpha1p0,44,oracle_prob,present,1
cifar,alpha0p5,42,feddf_logit,present,1
cifar,alpha0p5,42,feddf_prob,present,1
cifar,alpha0p5,42,confidence_logit,present,1
cifar,alpha0p5,42,consensus_logit,present,1
cifar,alpha0p5,42,energy_logit,present,1
cifar,alpha0p5,42,expert_logit,present,1
cifar,alpha0p5,42,oracle_logit,present,1
cifar,alpha0p5,42,expert_prob,present,1
cifar,alpha0p5,42,expert_prob_sr,present,1
cifar,alpha0p5,42,oracle_prob,present,1
cifar,alpha0p5,43,feddf_logit,present,1
cifar,alpha0p5,43,feddf_prob,present,1
cifar,alpha0p5,43,confidence_logit,pending,0
cifar,alpha0p5,43,consensus_logit,pending,0
cifar,alpha0p5,43,energy_logit,pending,0
cifar,alpha0p5,43,expert_logit,pending,0
cifar,alpha0p5,43,oracle_logit,present,1
cifar,alpha0p5,43,expert_prob,present,1
cifar,alpha0p5,43,expert_prob_sr,present,1
cifar,alpha0p5,43,oracle_prob,present,1
cifar,alpha0p5,44,feddf_logit,present,1
cifar,alpha0p5,44,feddf_prob,present,1
cifar,alpha0p5,44,confidence_logit,pending,0
cifar,alpha0p5,44,consensus_logit,pending,0
cifar,alpha0p5,44,energy_logit,pending,0
cifar,alpha0p5,44,expert_logit,pending,0
cifar,alpha0p5,44,oracle_logit,present,1
cifar,alpha0p5,44,expert_prob,present,1
cifar,alpha0p5,44,expert_prob_sr,present,1
cifar,alpha0p5,44,oracle_prob,present,1
cifar,alpha0p1,42,feddf_logit,present,1
cifar,alpha0p1,42,feddf_prob,present,1
cifar,alpha0p1,42,confidence_logit,present,1
cifar,alpha0p1,42,consensus_logit,present,1
cifar,alpha0p1,42,energy_logit,present,1
cifar,alpha0p1,42,expert_logit,present,1
cifar,alpha0p1,42,oracle_logit,present,1
cifar,alpha0p1,42,expert_prob,present,1
cifar,alpha0p1,42,expert_prob_sr,present,1
cifar,alpha0p1,42,oracle_prob,present,1
cifar,alpha0p1,43,feddf_logit,present,1
cifar,alpha0p1,43,feddf_prob,present,1
cifar,alpha0p1,43,confidence_logit,pending,0
cifar,alpha0p1,43,consensus_logit,pending,0
cifar,alpha0p1,43,energy_logit,pending,0
cifar,alpha0p1,43,expert_logit,pending,0
cifar,alpha0p1,43,oracle_logit,present,1
cifar,alpha0p1,43,expert_prob,present,1
cifar,alpha0p1,43,expert_prob_sr,present,1
cifar,alpha0p1,43,oracle_prob,present,1
cifar,alpha0p1,44,feddf_logit,present,1
cifar,alpha0p1,44,feddf_prob,present,1
cifar,alpha0p1,44,confidence_logit,pending,0
cifar,alpha0p1,44,consensus_logit,pending,0
cifar,alpha0p1,44,energy_logit,pending,0
cifar,alpha0p1,44,expert_logit,pending,0
cifar,alpha0p1,44,oracle_logit,present,1
cifar,alpha0p1,44,expert_prob,present,1
cifar,alpha0p1,44,expert_prob_sr,present,1
cifar,alpha0p1,44,oracle_prob,present,1
cifar,multi,42,feddf_logit,present,1
cifar,multi,42,feddf_prob,present,1
cifar,multi,42,confidence_logit,present,1
cifar,multi,42,consensus_logit,present,1
cifar,multi,42,energy_logit,present,1
cifar,multi,42,expert_logit,present,1
cifar,multi,42,oracle_logit,present,1
cifar,multi,42,expert_prob,present,1
cifar,multi,42,expert_prob_sr,present,1
cifar,multi,42,oracle_prob,present,1
cifar,multi,43,feddf_logit,present,1
cifar,multi,43,feddf_prob,present,1
cifar,multi,43,confidence_logit,pending,0
cifar,multi,43,consensus_logit,pending,0
cifar,multi,43,energy_logit,pending,0
cifar,multi,43,expert_logit,pending,0
cifar,multi,43,oracle_logit,present,1
cifar,multi,43,expert_prob,present,1
cifar,multi,43,expert_prob_sr,present,1
cifar,multi,43,oracle_prob,present,1
cifar,multi,44,feddf_logit,present,1
cifar,multi,44,feddf_prob,present,1
cifar,multi,44,confidence_logit,pending,0
cifar,multi,44,consensus_logit,pending,0
