dataset,regime,mean,sd,n,seeds,contrast,metric
mnist,alpha1p0,-0.020940323788528763,0.007435513624735782,3,"42,43,44",selection_logit,target_entropy
mnist,iid,-0.0011283681101462346,0.00010585360786677772,3,"42,43,44",selection_logit,target_entropy
mnist,multi,-1.7750689803021678,0.040809093023580996,3,"42,43,44",selection_logit,target_entropy
mnist,single,-2.215035931661203,0.07146125559125611,3,"42,43,44",selection_logit,target_entropy
cifar,alpha0p1,0.1254333333333333,0.015116326714295854,3,"42,43,44",feddf_pooling,student_test_accuracy
cifar,alpha0p5,0.03539999999999999,0.020820182516010716,3,"42,43,44",feddf_pooling,student_test_accuracy
cifar,alpha1p0,0.013566666666666652,0.005815783122962391,3,"42,43,44",feddf_pooling,student_test_accuracy
cifar,iid,0.001499999999999983,0.0033181320046073845,3,"42,43,44",feddf_pooling,student_test_accuracy
cifar,multi,0.11393333333333333,0.03438463804278496,3,"42,43,44",feddf_pooling,student_test_accuracy
cifar,single,-0.0040000000000000036,0.007644605941446559,3,"42,43,44",feddf_pooling,student_test_accuracy
fmnist,alpha0p1,0.09603333333333332,0.010427048160113837,3,"42,43,44",feddf_pooling,student_test_accuracy
fmnist,alpha0p5,0.008199999999999949,0.004419275958796896,3,"42,43,44",feddf_pooling,student_test_accuracy
fmnist,alpha1p0,0.00886666666666669,0.013271900140271289,3,"42,43,44",feddf_pooling,student_test_accuracy
fmnist,iid,-0.000300000000000004,0.0005291502622129018,3,"42,43,44",feddf_pooling,student_test_accuracy
fmnist,multi,0.1855,0.03177750776886066,3,"42,43,44",feddf_pooling,student_test_accuracy
fmnist,single,-0.0034666666666666643,0.009298028464859278,3,"42,43,44",feddf_pooling,student_test_accuracy
mnist,alpha0p1,0.13693333333333338,0.08003213937746094,3,"42,43,44",feddf_pooling,student_test_accuracy
mnist,alpha0p5,0.010000000000000009,0.00628649345820061,3,"42,43,44",feddf_pooling,student_test_accuracy
mnist,alpha1p0,0.0009000000000000119,0.0007000000000000339,3,"42,43,44",feddf_pooling,student_test_accuracy
mnist,iid,0.00046666666666668927,0.0004618802153516818,3,"42,43,44",feddf_pooling,student_test_accuracy
mnist,multi,0.15369999999999998,0.05338098912534312,3,"42,43,44",feddf_pooling,student_test_accuracy
mnist,single,-0.002433333333333334,0.0009237604307034037,3,"42,43,44",feddf_pooling,student_test_accuracy
cifar,alpha0p1,-0.5922610898971558,0.16245490260114231,3,"42,43,44",feddf_pooling,student_test_nll
cifar,alpha0p5,-0.12021595293680827,0.023044107486324003,3,"42,43,44",feddf_pooling,student_test_nll
cifar,alpha1p0,-0.03476457878748577,0.01976090892289024,3,"42,43,44",feddf_pooling,student_test_nll
cifar,iid,0.0006741329352060917,0.0017868082102099584,3,"42,43,44",feddf_pooling,student_test_nll
cifar,multi,-0.3981758841196696,0.04681520291509562,3,"42,43,44",feddf_pooling,student_test_nll
cifar,single,-0.07261413790384925,0.23326951979253008,3,"42,43,44",feddf_pooling,student_test_nll
fmnist,alpha0p1,-0.8699869575500486,0.9563220465031554,3,"42,43,44",feddf_pooling,student_test_nll
fmnist,alpha0p5,-0.027579313564300507,0.010119655845089488,3,"42,43,44",feddf_pooling,student_test_nll
fmnist,alpha1p0,-0.02538103479544322,0.032378953974230955,3,"42,43,44",feddf_pooling,student_test_nll
fmnist,iid,9.08354918162102e-05,0.002574009789334295,3,"42,43,44",feddf_pooling,student_test_nll
fmnist,multi,-5.279153097724914,1.2292934171914092,3,"42,43,44",feddf_pooling,student_test_nll
fmnist,single,-6.071875490442911,1.3088667873809179,3,"42,43,44",feddf_pooling,student_test_nll
mnist,alpha0p1,-0.6408068795641265,0.4246839924302083,3,"42,43,44",feddf_pooling,student_test_nll
mnist,alpha0p5,-0.031840022795274835,0.021414970815064445,3,"42,43,44",feddf_pooling,student_test_nll
mnist,alpha1p0,-0.003210744362014036,0.002648167979712875,3,"42,43,44",feddf_pooling,student_test_nll
