run_id,dataset,regime,seed,method,valid,reason
7445a77f2eaba59f,fmnist,alpha0p1,42,expert_prob_sr,True,
d1f61114c058d464,fmnist,alpha0p1,42,oracle_prob,True,
eaad1c21866e0c07,fmnist,alpha0p1,42,feddf_logit,True,
ac79ecf816739412,fmnist,alpha0p1,42,oracle_logit,True,
84aa3a7dc9c2fa76,fmnist,alpha0p1,42,confidence_logit,True,
1f432e9bb4c8eb67,fmnist,alpha0p1,42,consensus_logit,True,
39c61093264e6c1a,fmnist,alpha0p1,42,energy_logit,True,
ee4622118c8e53e8,fmnist,alpha0p1,42,expert_logit,True,
0f339439e469a9ed,fmnist,alpha0p1,43,feddf_prob,True,
89b7a98af918a190,fmnist,alpha0p1,43,expert_prob,True,
347239177a9e6dfd,fmnist,alpha0p1,43,expert_prob_sr,True,
6855966ae85d639d,fmnist,alpha0p1,43,oracle_prob,True,
c01e14c52eb9457b,fmnist,alpha0p1,43,feddf_logit,True,
5f6a723f7af6ec99,fmnist,alpha0p1,43,oracle_logit,True,
9b78d8c0f7d0569d,fmnist,alpha0p1,43,confidence_logit,True,
b13fe59f2f31a5f0,fmnist,alpha0p1,43,consensus_logit,True,
f7e294c466c25e39,fmnist,alpha0p1,43,energy_logit,True,
d6936aa789a071ad,fmnist,alpha0p1,43,expert_logit,True,
ca21d7e1641c3b6d,fmnist,alpha0p1,44,feddf_prob,True,
0319b4e50dba203c,fmnist,alpha0p1,44,expert_prob,True,
4be9e2408b94c0cb,fmnist,alpha0p1,44,expert_prob_sr,True,
454a77ebf6bf67c4,fmnist,alpha0p1,44,oracle_prob,True,
411b30d625d92426,fmnist,alpha0p1,44,feddf_logit,True,
926999dfb235a311,fmnist,alpha0p1,44,oracle_logit,True,
72841014e5991ecc,fmnist,alpha0p1,44,confidence_logit,True,
af0b30146e14b637,fmnist,alpha0p1,44,consensus_logit,True,
20ae6273d8b37e91,fmnist,alpha0p1,44,energy_logit,True,
34370c2c97f0388b,fmnist,alpha0p1,44,expert_logit,True,
75df60423010f895,fmnist,alpha0p5,42,feddf_prob,True,
a94e698fa3ce41b2,fmnist,alpha0p5,42,expert_prob,True,
edd7c54fe864b2a9,fmnist,alpha0p5,42,expert_prob_sr,True,
eedbba9dd59308f4,fmnist,alpha0p5,42,oracle_prob,True,
4de4a759c90872f0,fmnist,alpha0p5,42,feddf_logit,True,
ea9bb8b624780129,fmnist,alpha0p5,42,oracle_logit,True,
d2923696d94abde5,fmnist,alpha0p5,42,confidence_logit,True,
f0e0cbef23719b6e,fmnist,alpha0p5,42,consensus_logit,True,
9387030c8b6e5800,fmnist,alpha0p5,42,energy_logit,True,
e40b683092f7a593,fmnist,alpha0p5,42,expert_logit,True,
925a59ea8d0143c2,fmnist,alpha0p5,43,feddf_prob,True,
a9382d7e110e1b4f,fmnist,alpha0p5,43,expert_prob,True,
e7bd87226c652046,fmnist,alpha0p5,43,expert_prob_sr,True,
9309311bf9a7cb97,fmnist,alpha0p5,43,oracle_prob,True,
f3bc3d7e5cbb4acb,fmnist,alpha0p5,43,feddf_logit,True,
acac8afe47bf20bf,fmnist,alpha0p5,43,oracle_logit,True,
f9ad89368e1ebfbc,fmnist,alpha0p5,43,confidence_logit,True,
e6c7115bb24b0b52,fmnist,alpha0p5,43,consensus_logit,True,
724ed55362593dba,fmnist,alpha0p5,43,energy_logit,True,
e47c4480a07b5646,fmnist,alpha0p5,43,expert_logit,True,
bd30161cf5b0aeaf,fmnist,alpha0p5,44,feddf_prob,True,
4fe5e732841bca5c,fmnist,alpha0p5,44,expert_prob,True,
d402586b0ab9b100,fmnist,alpha0p5,44,expert_prob_sr,True,
c30f478ff960c420,fmnist,alpha0p5,44,oracle_prob,True,
5ac7898abb301455,fmnist,alpha0p5,44,feddf_logit,True,
b4cd97713252b444,fmnist,alpha0p5,44,oracle_logit,True,
e3f2ee9eff0d2a99,fmnist,alpha0p5,44,confidence_logit,True,
952697c72f522460,fmnist,alpha0p5,44,consensus_logit,True,
fcd5dcee0205527f,fmnist,alpha0p5,44,energy_logit,True,
48e16bdef4ab6476,fmnist,alpha0p5,44,expert_logit,True,
d42d35c0a068f3dc,fmnist,alpha1p0,42,feddf_prob,True,
be206107d3b9963a,fmnist,alpha1p0,42,expert_prob,True,
e59b5e501645941b,fmnist,alpha1p0,42,expert_prob_sr,True,
98b42d11fba448b5,fmnist,alpha1p0,42,oracle_prob,True,
749fed178afa09e1,fmnist,alpha1p0,42,feddf_logit,True,
3a0157dcfe5d2d3c,fmnist,alpha1p0,42,oracle_logit,True,
fd4814060ce10ff3,fmnist,alpha1p0,42,confidence_logit,True,
516de079fc06332d,fmnist,alpha1p0,42,consensus_logit,True,
a60581bb57e69639,fmnist,alpha1p0,42,energy_logit,True,
08383971858ae044,fmnist,alpha1p0,42,expert_logit,True,
23f187a69efd33f6,fmnist,alpha1p0,43,feddf_prob,True,
b98312a1293a366c,fmnist,alpha1p0,43,expert_prob,True,
3d73044bea5d30f8,fmnist,alpha1p0,43,expert_prob_sr,True,
e972c097c653d5ce,fmnist,alpha1p0,43,oracle_prob,True,
e104a8552b32d4ad,fmnist,alpha1p0,43,feddf_logit,True,
88020e3423038857,fmnist,alpha1p0,43,oracle_logit,True,
1f040ff6e65d29c0,fmnist,alpha1p0,43,confidence_logit,True,
3ae5b947059bcdd6,fmnist,alpha1p0,43,consensus_logit,True,
a3ba22be2422df85,fmnist,alpha1p0,43,energy_logit,True,
bbaf4389c6b58903,fmnist,alpha1p0,43,expert_logit,True,
804cc87340de6597,fmnist,alpha1p0,44,feddf_prob,True,
81815007cc97fb81,fmnist,alpha1p0,44,expert_prob,True,
e78d61971b9e4e5e,fmnist,alpha1p0,44,expert_prob_sr,True,
cb0d9dd9731954d3,fmnist,alpha1p0,44,oracle_prob,True,
f7567aeb7e842b49,fmnist,alpha1p0,44,feddf_logit,True,
ed283616f9067e56,fmnist,alpha1p0,44,oracle_logit,True,
8574d1f2101f2143,fmnist,alpha1p0,44,confidence_logit,True,
781614785a653a4a,fmnist,alpha1p0,44,consensus_logit,True,
ebff5650a046376a,fmnist,alpha1p0,44,energy_logit,True,
5b1f4f829a4a21c7,fmnist,alpha1p0,44,expert_logit,True,
37c69faf67040e53,fmnist,iid,42,feddf_prob,True,
a893354e6047afe2,fmnist,iid,42,expert_prob,True,
6fa09ca35c17f60d,fmnist,iid,42,expert_prob_sr,True,
9c0026a52c30a040,fmnist,iid,42,oracle_prob,True,
f4fb2218d388dced,fmnist,iid,42,feddf_logit,True,
c74227f7a462d768,fmnist,iid,42,oracle_logit,True,
4f597cb6e165aa99,fmnist,iid,42,confidence_logit,True,
ab0ddf392f1e4092,fmnist,iid,42,consensus_logit,True,
